 	viene	fabbricato	</S>
è	0.6496284	0.3468004	0.0035712442
r	0.9443363	0.055663712	2.4723334e-10
k	0.03169898	0.9615524	0.0067486563
e	0.97652185	0.02315915	0.0003189226
t	0.9452231	0.052524388	0.0022525627
e	0.42922553	0.5673412	0.0034332736
f	0.2282734	0.7262693	0.045457248
a	0.014883929	0.5844942	0.40062183
b	0.06266889	0.8151644	0.12216678
b	0.0888312	0.90600914	0.005159749
r	0.9032232	0.09666911	0.000107630716
i	0.23472944	0.7536549	0.011615634
k	0.0011936681	0.9046525	0.09415383
à	0.00080390635	0.98861724	0.010578867
t	0.011504713	0.8945626	0.09393269
o	0.15679926	0.38601914	0.45718163
</S>	1.3347475e-05	0.08383665	0.91615
