 	entrò	da	qui	</S>
m	0.19709386	0.0778353	0.13283885	0.592232
b	0.9892855	0.0064935656	0.0041137463	0.00010724427
ì	0.9864553	0.012971392	0.00027278025	0.00030050648
k	0.00044058895	0.9690749	0.023588067	0.006896333
e	0.7271545	0.21032055	0.049888704	0.012636177
a	2.8933657e-05	0.6207858	0.2932551	0.08593018
p	2.367401e-05	0.21169066	0.36416674	0.42411888
ò	0.0096397	0.2297218	0.7518408	0.008797717
t	7.726294e-05	0.3629839	0.56166756	0.075271286
t	0.0002719892	0.031757727	0.53720576	0.4307645
u	2.757073e-05	0.013596785	0.43156794	0.5548077
</S>	1.073928e-07	0.0017006991	0.23886488	0.7594343
