 	non	ha	mangiato	mai	un	rustico	</S>
e	0.85971004	0.1078804	0.0015277154	0.0006995111	0.00043738313	0.002783518	0.02696142
n	0.61102104	0.3749608	0.011437507	0.0024665252	0.00010620449	7.2126127e-06	6.42532e-07
è	0.4437156	0.52904564	0.02616171	0.0009697084	9.522866e-05	1.0296609e-05	1.8437613e-06
c	0.004043831	0.992945	0.0029936382	1.4779302e-05	1.288225e-06	4.0164767e-07	1.0685047e-06
h	0.0062084175	0.74229103	0.18777089	0.019031046	0.0010873798	0.0005852664	0.04302605
i	0.0011255324	0.19337802	0.21112064	0.0047294223	0.00038350865	0.0010328746	0.5882301
f	5.066431e-06	0.22795203	0.58068895	0.18198904	0.0035888231	0.0009007723	0.004875247
a	1.5972056e-06	0.003910491	0.7462794	0.20024079	0.016874947	0.016040431	0.01665237
m	2.8949813e-07	0.0018263382	0.117993146	0.8309792	0.025662148	0.0030284252	0.020510599
è	1.2322664e-06	0.0003041483	0.16193287	0.8102462	0.023777582	0.001962021	0.0017759859
n	3.7544293e-08	0.0006083221	0.10726368	0.7581854	0.10845248	0.0039685233	0.02152162
a	6.3431616e-09	6.629047e-05	0.011373425	0.7063069	0.14838001	0.015381676	0.11849171
m	7.103609e-11	2.7001875e-08	2.1963972e-06	0.16603161	0.69354236	0.09874636	0.041677374
à	3.7740232e-08	2.5531817e-06	0.0029163742	0.77279735	0.2045116	0.015106688	0.0046653734
i	4.175194e-09	1.8693418e-05	0.0007071727	0.10104495	0.80878466	0.024935804	0.0645086
è	6.6806685e-11	5.7297824e-09	6.913813e-08	0.0024920895	0.46747297	0.38292623	0.1471086
n	2.2290081e-08	1.4163182e-06	5.754296e-06	0.0019048363	0.71157706	0.23915903	0.047351863
a	8.42923e-08	3.0306157e-06	9.424468e-06	0.010403745	0.8022465	0.14726235	0.040074777
n	8.017907e-11	1.892671e-09	3.802284e-09	1.3734579e-05	0.023141192	0.8250326	0.1518125
r	6.8462487e-07	1.0102297e-06	5.9717684e-07	0.00052059186	0.26712194	0.7035793	0.0287759
ù	5.887603e-06	2.205754e-05	4.011095e-05	0.0040983222	0.0791012	0.79711145	0.11962098
s	7.866277e-09	3.039771e-07	6.604339e-07	0.00024120469	0.14315718	0.65387744	0.20272315
t	3.6590778e-10	1.9104036e-06	4.449133e-05	0.008227653	0.469348	0.46827498	0.054102957
i	6.064905e-10	2.221357e-07	2.2370261e-06	9.689368e-05	0.015780823	0.8732654	0.11085448
k	2.5621248e-11	2.5130156e-10	5.2239063e-10	1.7575975e-07	0.00016535471	0.4872346	0.5125999
o	8.445579e-09	1.2911623e-07	4.2537026e-06	0.00056683103	0.09241446	0.88755924	0.019455036
</S>	4.9487782e-11	6.931712e-10	1.5093742e-09	1.4401061e-06	0.00036681438	0.1023305	0.8973012
