 	è	che	sono	usciti	</S>
è	0.94847095	0.002965429	0.0014752524	0.013887782	0.0332006
n	0.9152328	0.08476297	1.1257826e-07	4.097542e-06	3.0797795e-10
a	0.93508255	0.01152567	0.01029772	0.013880541	0.029213388
g	0.04400499	0.90173674	0.024752999	0.029246947	0.00025836827
u	9.748921e-06	0.0068879505	0.061672166	0.9005146	0.030915586
ì	7.1808927e-06	0.1530163	0.7932762	0.018939985	0.03476035
k	2.0151754e-05	0.277751	0.43176457	0.26428652	0.026177756
a	0.0017641966	0.28558192	0.5615285	0.101988904	0.0491365
n	4.588681e-09	0.0014312818	0.68851966	0.014182	0.2958671
e	1.1677692e-05	0.0320502	0.8018429	0.034572296	0.13152295
</S>	4.222296e-09	4.6384048e-05	0.022544347	0.007136813	0.9702725
