 	Marika	è	che	si	sposa	domani	</S>
M	0.99958855	0.00034406682	1.5892889e-06	3.3015746e-07	8.795325e-06	5.005299e-07	5.625474e-05
a	2.941086e-05	0.31601313	0.17565688	0.20827538	0.2933536	0.0002488573	0.0064227404
r	0.5952158	0.03572385	0.29460472	0.02717727	0.04643884	4.630225e-05	0.0007931462
ì	0.0012214704	0.48745328	0.4717054	0.012977721	0.02653491	1.0809039e-05	9.641703e-05
k	0.00021127252	0.56520945	0.41298696	0.015109879	0.0035545945	0.00092806004	0.0019997035
a	0.00013545291	0.28835595	0.16218445	0.052431095	0.15779637	0.00068946223	0.3384073
è	1.15330225e-08	0.018684292	0.9378269	0.03190754	0.006580893	0.00010389085	0.004896611
n	1.6005213e-08	0.015643537	0.89028263	0.08369727	0.00085135543	0.008253076	0.0012720787
a	1.6798728e-08	0.0056079035	0.51458	0.2729227	0.12845069	0.040903166	0.037535552
r	3.3078887e-11	6.8177833e-06	0.116331436	0.6451364	0.05768443	0.064922564	0.11591836
m	2.45851e-07	0.00019262657	0.07013117	0.1044545	0.7885291	0.02304925	0.013643153
a	6.15129e-09	0.006382054	0.3563248	0.009208134	0.35660887	4.6845315e-05	0.27142942
s	1.1089807e-10	3.5299695e-07	0.0047174226	0.18188787	0.57703686	0.060004298	0.17635322
t	5.751643e-10	0.00021094059	0.045787595	0.07282525	0.8544288	0.007797917	0.0189495
ì	1.5843702e-07	0.00034481057	0.0172196	0.0071872575	0.8022543	0.030532641	0.1424613
à	1.04188585e-11	3.1482614e-07	0.00015262485	0.017374204	0.0075916285	0.8200488	0.15483244
v	4.6773974e-10	1.1825186e-06	0.00010650786	0.013823073	0.0060394784	0.9282839	0.051745825
v	2.026454e-06	0.0011096431	0.016518336	0.008219712	0.22679277	0.07528114	0.67207634
r	7.1930835e-13	1.2827581e-05	0.0008771973	3.7268583e-05	0.071348794	0.0011949457	0.926529
i	1.7500344e-14	6.544914e-08	9.1191956e-05	0.0010162838	0.1351409	0.008319951	0.8554316
</S>	2.6858247e-13	5.9953003e-09	5.8928475e-07	0.00016237068	0.0030564726	0.22233386	0.77444667
