 	Valeria	legge	il	giornale	</S>
e	0.999458	0.00011519564	2.4604205e-05	1.2652387e-05	0.0003894568
V	0.9827849	0.01078017	0.006426718	7.86232e-06	1.9470453e-07
a	0.33387554	0.12640718	0.5388419	0.0008432265	3.2196775e-05
l	0.00018486782	0.028490638	0.96296227	0.0048267576	0.003535476
è	0.36882234	0.6125551	0.0139615	0.0033405577	0.0013205088
r	0.03728921	0.57304907	0.29462683	0.024347303	0.0706876
i	0.0009959834	0.56905884	0.22480296	0.0020763758	0.20306587
a	1.707918e-08	0.0059308466	0.9134352	0.0377612	0.042872705
m	1.191907e-08	0.0017359819	0.8962835	0.07287435	0.029106071
e	1.8338233e-05	0.9924482	0.0046376428	0.0024562355	0.0004396075
l	1.4106233e-09	0.0032485845	0.79853284	0.10279888	0.09541973
e	0.00033943716	0.9351078	0.06071099	0.0034100218	0.0004318269
t	9.59836e-10	0.0007324772	0.7566592	0.15786609	0.08474214
à	9.0324805e-09	0.00012657543	0.95721555	0.03915551	0.003502449
o	2.7574415e-05	0.05554076	0.10265672	0.3315017	0.5102733
g	1.2812296e-11	1.1135919e-06	0.044969015	0.76752716	0.18750273
i	8.551707e-05	0.7635772	0.054176	0.1736307	0.008530619
o	9.94904e-11	1.8808062e-06	0.010338809	0.5704473	0.41921204
r	4.456179e-11	5.12072e-08	0.004615605	0.7929143	0.20247011
n	0.00019864964	0.08365943	0.10796862	0.7982889	0.00988447
à	2.8835714e-07	1.5771719e-05	0.01744578	0.4722357	0.5103025
l	1.1591482e-06	6.474999e-05	0.014153172	0.34762123	0.6381597
e	0.0004969883	0.63494587	0.34490198	0.0052532363	0.014401979
</S>	2.8839355e-11	1.0074621e-07	0.00020708788	0.07170026	0.92809254
