 	non	sono	andati	</S>
e	0.669324	0.29788774	0.012288744	0.020499544
n	0.5322974	0.46545175	0.0022440462	6.852902e-06
è	0.32843307	0.6481852	0.023052529	0.00032918766
c	0.08903605	0.90515214	0.0054476704	0.00036421037
h	0.0119762905	0.86453676	0.121563375	0.0019236576
u	0.0001681637	0.14004074	0.20382614	0.6559649
n	3.6165648e-06	0.16834967	0.27232283	0.55932385
e	4.4152173e-05	0.54205656	0.4218388	0.03606047
p	7.6889705e-08	0.018808873	0.38405246	0.5971386
a	1.3590715e-05	0.020593334	0.9458601	0.033532955
m	6.967284e-08	0.0017466795	0.50101876	0.49723452
è	3.317813e-05	0.06169484	0.93672025	0.0015516946
n	1.06100215e-05	0.035628613	0.8844254	0.079935394
a	1.42298315e-08	0.042279925	0.79187065	0.16584942
</S>	1.1997675e-10	3.6272747e-06	0.0024727045	0.9975236
