 	il	lenzuolo	vuole	lavato	</S>
o	0.51339555	0.0038978057	0.01070179	0.045987833	0.42601702
p	0.95086664	0.034304712	0.012780065	0.0020424929	6.0892517e-06
l	0.23260589	0.019965364	0.07676367	0.6072655	0.06339953
a	0.9992223	0.000121219695	0.00019317777	7.8099496e-05	0.00038509542
ù	0.0332055	0.68189526	0.2583449	0.021475088	0.0050793025
n	0.00053827144	0.8896103	0.10329211	0.0052683167	0.0012909702
a	0.032308154	0.27990165	0.63087004	0.019014364	0.0379058
t	2.951894e-06	0.023937348	0.7505994	0.16040863	0.06505164
è	0.00027593112	0.015544443	0.9743294	0.00878677	0.0010634445
l	2.978275e-05	0.033149656	0.3586066	0.49082485	0.11738905
i	0.0017329064	0.10056999	0.16147417	0.1647843	0.5714386
p	2.7944697e-08	1.8990075e-05	0.07045899	0.8131085	0.116413385
l	0.0002876434	0.00055430655	0.040319912	0.9330475	0.02579062
i	0.7249451	0.002615256	0.06526188	0.1755389	0.031638958
m	1.3570569e-07	7.3871465e-06	0.02541046	0.84307855	0.13150346
è	0.0038911526	0.0010239119	0.06677967	0.9188176	0.009487577
n	1.7020742e-05	0.00090318243	0.054475274	0.51139987	0.4332046
o	1.4921989e-06	0.00015437273	0.03232569	0.5236688	0.44384962
</S>	4.6107995e-10	1.0970206e-08	0.00015163783	0.19737019	0.8024782
