 	mia	mamma	e	mio	padre	non	andarono	mai	in	Grecia	</S>
i	0.70503527	0.014630405	0.00042912702	7.402345e-05	0.002566241	0.00018939939	0.00049540226	0.0046223584	0.03863687	9.856169e-05	0.23322245
m	0.5013195	0.47102964	0.008643857	0.00029705325	0.016669847	6.1316277e-06	0.0015155206	0.00012106152	0.00039273416	4.9275165e-08	4.5884894e-06
à	0.34854442	0.15266065	0.008525054	0.00396734	0.043105274	0.0038663775	0.0068490673	0.025584653	0.39473343	0.001193307	0.010970369
n	0.040494967	0.953776	0.0052236076	7.443814e-05	0.00027586028	2.163997e-06	8.674594e-05	9.068654e-06	2.7038961e-05	1.44684e-07	2.995173e-05
a	0.32416672	0.63692605	0.003854967	0.0003150477	0.0002628662	0.00019651526	7.79681e-05	0.00022271984	0.00067845406	1.6126987e-05	0.033282492
m	0.00026682732	0.73736554	0.255483	0.005580745	0.00070935517	4.3260752e-05	0.0004811206	1.3108173e-05	3.250982e-05	2.2510012e-08	2.4585612e-05
u	0.0023346879	0.8283881	0.0574194	0.022332076	0.023634456	0.01630569	0.0023169953	0.009293707	0.025893979	0.00082908786	0.011251929
c	1.0735179e-06	0.05455511	0.89706653	0.047120713	0.00048171487	0.00024900172	0.0004819975	8.927245e-06	1.07150345e-05	6.323968e-08	2.4198569e-05
e	0.02016848	0.22993961	0.025321066	0.2362263	0.34912857	0.05582142	0.008820915	0.0129365595	0.025084918	0.0021893585	0.034362797
o	2.7550122e-06	0.026585942	0.7155237	0.24878739	0.0031338923	0.0023874785	0.003322118	7.813748e-05	5.700703e-05	1.0821861e-06	0.00012055437
c	1.1290408e-07	0.00029999076	0.5615913	0.43043533	0.0026693488	0.0017515628	0.0031860494	2.5616242e-05	2.0965448e-05	2.5595872e-07	1.9432004e-05
i	0.02050556	0.07295314	0.0049499646	0.055806592	0.41540045	0.046502523	0.028054455	0.069683574	0.2635728	0.002112311	0.020458682
ù	3.0307058e-07	0.0011916476	0.3202209	0.65568346	0.007390832	0.00693716	0.00830714	0.00012391953	5.9815546e-05	1.5882382e-06	8.3269624e-05
r	1.3707539e-06	0.00036750824	0.1233634	0.764074	0.0639001	0.028987871	0.017668143	0.0008098524	0.00023896368	0.00012651677	0.00046229627
i	0.0045455866	0.03188317	0.09033847	0.15841421	0.50045776	0.063767254	0.022745216	0.014123957	0.0023276664	0.0029174772	0.10847915
