 	vuole	pianto	</S>
e	0.57552695	0.22868463	0.19578838
t	0.86754036	0.13240433	5.5379584e-05
è	0.99821556	0.0017521941	3.230702e-05
l	0.093819104	0.86023813	0.04594283
i	0.5327177	0.42072523	0.04655709
k	0.0011047714	0.9609339	0.037961353
l	0.0010449697	0.9949509	0.0040041585
a	0.9348303	0.0645553	0.00061438384
m	0.001421872	0.85486656	0.14371154
m	0.029821644	0.96514976	0.005028553
è	0.696453	0.30334753	0.00019951283
n	0.35747224	0.37431583	0.26821196
o	0.10131493	0.61829925	0.28038585
</S>	6.5285326e-07	0.09169078	0.9083086
