 	nella	pasta	vuole	sale	</S>
s	0.96533424	0.020417186	0.0006643804	0.001242976	0.012341303
t	0.75092727	0.14977787	0.06995565	0.026364703	0.0029745584
i	0.9048784	0.09332151	0.0010202643	0.00024343752	0.0005364735
p	0.042152777	0.500664	0.44646063	0.01026223	0.00046040266
à	0.0028499055	0.030849693	0.29299647	0.5996622	0.07364171
s	0.014295544	0.2772703	0.5754581	0.09842834	0.034547742
t	0.15433063	0.59111613	0.18801461	0.00919647	0.057342254
a	0.017982561	0.93257457	0.031166364	0.0045187753	0.013757672
t	0.0011812377	0.004241834	0.5957419	0.2692775	0.12955742
è	0.00863683	0.12127482	0.84361756	0.025058959	0.0014117435
l	5.670614e-06	0.00019895936	0.059880268	0.6586984	0.28121674
i	0.027576054	0.34920543	0.46360356	0.04306466	0.11655035
à	1.3294657e-06	2.9498722e-06	0.003107413	0.6121673	0.38472104
l	5.8499398e-05	3.728778e-05	0.009645785	0.77195805	0.21830039
a	0.00039936928	0.0031447492	0.07080651	0.8269693	0.09867998
</S>	9.545926e-07	3.6648944e-06	0.00017606892	0.09670026	0.9031191
