 	vuole	andare	a	Lecce	</S>
i	0.62775034	0.034596656	0.034255296	0.050670482	0.25272727
t	0.71879053	0.26838997	0.012284572	0.0005281168	6.8957465e-06
è	0.9845961	0.014770948	0.00062751473	4.528964e-06	9.4832524e-07
l	0.14181092	0.6543702	0.064194486	0.12961368	0.010010722
i	0.763207	0.20834261	0.0044358545	0.00018016408	0.023834428
n	0.0003206996	0.9079667	0.08484361	0.0052216174	0.0016473514
a	0.015652945	0.8977936	0.085987076	0.00045214553	0.00011415062
p	1.0641723e-05	0.7468707	0.22004086	0.01332445	0.019753296
à	0.003252239	0.54856867	0.43241367	0.014539477	0.0012259684
i	0.0006151507	0.30148932	0.4631165	0.21288726	0.021891726
L	3.5396985e-07	0.042023163	0.8120376	0.052572027	0.093366906
u	0.0068013794	0.17618535	0.23271267	0.5275107	0.056789894
p	2.7408637e-07	0.012749892	0.8360045	0.044353414	0.10689193
p	0.00070264743	0.05124197	0.83823454	0.09525006	0.014570792
ì	0.6392842	0.23478562	0.12484229	0.00023860742	0.0008492691
u	0.00014642291	0.006451354	0.0988428	0.8665431	0.028016297
n	9.090749e-09	2.6030462e-05	0.032450855	0.5241921	0.44333103
a	0.0018436465	0.0010308863	0.13847633	0.48358	0.37506908
</S>	7.2682664e-09	2.5081415e-06	0.0010760253	0.059904337	0.9390171
