 	il	ladro	è	entrato	da	qui	</S>
o	0.43182474	0.007887338	0.0011796195	0.012280018	0.015630607	0.04828219	0.48291555
l	0.97335964	0.0034866105	0.00059805776	0.016804295	0.005425439	0.0003216671	4.2418e-06
à	0.022552028	0.028656173	0.0046706046	0.5385123	0.083964854	0.2807585	0.04088552
d	0.009052534	0.9720532	0.017382978	0.0007651344	0.00058263756	8.204303e-05	8.1587365e-05
r	0.0011468509	0.04283318	0.0656442	0.3167066	0.036306694	0.021913245	0.5154492
o	0.026691211	0.0012714062	0.019506792	0.19810376	0.004624666	0.003777793	0.7460243
i	0.0012009455	0.026167613	0.496463	0.28252533	0.15877137	0.014708415	0.020163348
m	0.00060206215	0.0041141245	0.5533418	0.1476893	0.26578268	0.01241674	0.016053278
b	1.2203887e-05	4.654482e-05	0.0008358105	0.6398016	0.07495055	0.25524923	0.02910396
ì	0.07928256	9.643676e-05	0.0010064286	0.8842981	0.025703073	0.001107185	0.008506295
k	0.00013072701	0.011954286	0.2983877	0.2223591	0.36298987	0.055118885	0.049059477
e	2.6272955e-05	3.0925683e-05	0.0021666365	0.7836875	0.13401456	0.012604213	0.0674699
a	1.6616848e-08	4.5633428e-08	2.3758983e-05	0.011000637	0.7795578	0.16533421	0.04408351
p	8.0205973e-07	5.9432034e-07	0.00026402337	0.009852445	0.68369275	0.116149805	0.19003949
ò	1.2199051e-05	6.233587e-07	6.6105777e-06	0.090556875	0.15366574	0.721424	0.034333937
t	1.5465855e-06	3.8153077e-05	0.00032337217	0.0023203099	0.28828242	0.66285294	0.04618124
t	4.7942746e-07	2.0018108e-07	1.8857643e-05	0.0067636427	0.28075215	0.41339526	0.29906946
u	5.8207985e-07	2.962542e-08	3.364623e-07	0.00029450728	0.039701663	0.28031784	0.679685
</S>	1.3057652e-08	8.2491285e-09	4.5070902e-07	1.4028904e-05	0.0055436445	0.19617185	0.79827
