 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.98972255	0.0042958916	0.0005725782	0.00030386704	1.2894424e-06	0.0051038945
c	0.9134882	0.08650997	1.8150063e-06	2.285644e-09	4.702006e-14	2.0116504e-11
h	0.038367704	0.72288364	0.22277294	0.013425735	0.00015666056	0.002393307
e	0.8874399	0.0981221	0.0027853597	0.008789459	0.0007610982	0.002102159
p	0.09185757	0.89269036	0.015037101	0.00028463188	4.1126276e-09	0.00013021992
o	0.0006301125	0.7261039	0.22820511	0.029303415	0.004125199	0.011632134
l	0.0001428523	0.9647075	0.02797487	0.0060462095	1.023386e-05	0.001118425
e	2.897062e-05	0.6021332	0.38458496	0.012046925	0.00015077704	0.0010550682
m	2.860464e-06	0.76982707	0.17111053	0.053302728	0.0012753406	0.0044815657
ì	0.00017622502	0.6543307	0.28602347	0.058405064	0.00034645462	0.00071807636
s	0.0002762528	0.45726985	0.17768198	0.14357412	0.16145283	0.05974497
o	0.0008137746	0.6943462	0.08863626	0.080725126	0.0019639996	0.1335146
n	4.340882e-09	0.0049595833	0.39741313	0.5455758	0.025876459	0.026174977
t	0.00016528498	0.15471303	0.30340216	0.52319807	0.0131921405	0.0053293416
a	4.6845807e-06	0.01677502	0.13045175	0.82071143	0.0047384705	0.027318565
ò	3.973874e-08	0.00039628128	0.0942004	0.63840294	0.17030232	0.09669805
l	8.817052e-06	0.0008275393	0.027283771	0.21502899	0.7245607	0.032290187
i	0.0005951497	0.12752719	0.5725197	0.27991307	0.0020670607	0.017377773
t	1.6885675e-09	2.7202961e-05	0.00036685198	0.9595353	0.013398588	0.026672116
i	2.714535e-06	0.0005900989	0.004034581	0.98462117	0.00029400486	0.010457399
n	1.6877173e-08	1.8453283e-06	2.329791e-05	0.19229507	0.6290659	0.17861384
a	0.00018106865	7.192707e-05	9.297533e-05	0.85545874	0.13847335	0.0057219323
d	2.202463e-09	2.423939e-07	4.644541e-06	0.020085182	0.9433737	0.03653619
d	0.00010913166	0.00255434	0.0062857443	0.96288985	0.020711433	0.007449454
o	0.012021112	0.030388705	0.0065663694	0.9500297	7.501847e-05	0.00091919245
m	1.9000698e-08	3.0237172e-05	0.0002259535	0.48725295	0.20019776	0.31229305
à	0.0004581191	0.003110623	0.00601807	0.94588464	0.035121676	0.009406823
d	1.9270114e-05	0.00054921344	0.00029094866	0.04089975	0.69153744	0.26670337
a	0.00038196865	0.067196585	0.023294957	0.8333242	0.0016507475	0.07415153
</S>	3.576517e-10	3.0146305e-07	8.360119e-06	0.001071627	0.017635064	0.9812847
