 	che	non	li	aspettiamo	</S>
n	0.47319016	0.01265519	0.008703967	0.21986736	0.28558335
a	0.9639438	0.031855606	0.004195997	1.6922723e-06	2.8167055e-06
m	0.24114913	0.23984753	0.51861095	3.292652e-05	0.00035946278
i	0.0070408913	0.18261011	0.10853876	0.61841667	0.08339358
t	0.001627883	0.09570766	0.89134514	0.00039559213	0.010923739
u	0.9310235	0.045678247	0.0204303	0.0011307189	0.0017372944
s	5.235269e-05	0.079986	0.9098546	0.00040338063	0.009703657
m	0.090893626	0.17774618	0.72729987	0.0031856145	0.0008747125
ì	0.77719367	0.11324324	0.097675376	0.009272199	0.0026155373
n	0.0014934646	0.53213125	0.3459855	0.0015987278	0.118791044
o	0.0015520117	0.16121909	0.3169451	0.30206278	0.21822098
m	2.5207834e-07	0.00029411688	0.7874254	0.0015556245	0.21072465
e	6.695631e-05	0.081558906	0.7818682	0.11014995	0.026355967
</S>	1.2380013e-07	6.153562e-05	0.10274377	0.010232676	0.8869619
