 	vengono	vestiti	</S>
è	0.26862606	0.73066396	0.00070993986
r	0.99280435	0.0071955035	8.107549e-08
k	0.15744394	0.83945554	0.003100453
u	0.987023	0.0120941745	0.0008828555
t	0.8558854	0.023354407	0.1207602
t	0.95717186	0.020949984	0.02187815
e	0.9917486	0.0022602484	0.0059911646
n	0.0033800239	0.56452024	0.4320998
d	0.045914054	0.9467522	0.0073337536
i	0.86203843	0.13655072	0.0014108147
m	0.00014586418	0.44064003	0.5592141
è	0.01751196	0.97575605	0.006731975
n	0.003599086	0.8636675	0.13273348
a	0.4726247	0.36704716	0.1603281
</S>	7.909163e-06	0.021168543	0.97882354
