 	volevo	trovare	un	forno	che	fa	un	rustico	buono	</S>
ì	0.958055	0.00028937706	0.00013453908	2.9168186e-05	8.056283e-05	0.0003440768	0.00038134042	0.0017108943	0.0017783446	0.037196774
s	0.9999665	3.345595e-05	6.4930563e-09	1.5950097e-11	5.6496877e-12	3.0875474e-12	1.686353e-12	3.2199057e-12	1.3906371e-12	3.1015673e-11
e	0.3573414	0.581354	0.020417402	0.0033210828	0.007173802	0.0013836235	0.0020643768	0.0013445666	0.0010956652	0.024504026
l	0.98179793	0.01802426	0.00017355653	4.2643586e-07	2.824707e-07	1.6498808e-07	5.9133345e-08	1.07689054e-07	9.245227e-08	3.1776983e-06
a	0.008134425	0.5397807	0.2956151	0.07727207	0.019771658	0.008485053	0.008843756	0.009802748	0.0065603335	0.02573412
n	0.01574594	0.9740427	0.009898082	0.0002551482	3.5538644e-05	8.113736e-06	1.6023831e-06	1.0281016e-06	4.590189e-06	7.305243e-06
a	0.15800387	0.82189524	0.019720461	0.00022634462	0.00011694114	1.6531836e-05	5.9333206e-06	2.8096656e-06	4.99147e-06	6.882299e-06
v	0.00010294232	0.8975109	0.09816412	0.0036585436	0.00048419478	4.375762e-05	6.743693e-06	3.1470622e-06	1.3608507e-05	1.2018082e-05
r	0.003044946	0.2355073	0.51195616	0.13284962	0.030929936	0.022765353	0.023263229	0.02826859	0.008217608	0.0031973328
ì	0.77742416	0.14030537	0.04456491	0.008854571	0.003078541	0.001538665	0.00086989976	0.00089171267	0.0047042663	0.01776799
k	0.00059631345	0.384843	0.5273302	0.08537679	0.0012289627	0.00034682886	8.486488e-05	3.782622e-05	6.760123e-05	8.763413e-05
o	0.16866133	0.15599674	0.35087216	0.007552679	0.0026128807	0.0009136903	0.0006916053	0.0009563428	0.0020008858	0.30974165
a	1.5642804e-06	0.0049106623	0.9514636	0.0095211575	0.0322119	0.0015074568	7.839448e-05	1.6088394e-05	0.0001543088	0.00013489365
f	1.3644007e-05	0.004418576	0.6031558	0.220361	0.16675644	0.004050238	0.0003855818	0.00015252209	0.00039489748	0.00031129894
ù	2.687264e-05	0.0020640637	0.33722523	0.45780268	0.083216846	0.03798272	0.024493909	0.032675553	0.013035777	0.0114762625
r	7.382449e-05	0.003031802	0.18165866	0.7242754	0.069121055	0.0158589	0.0019766323	0.00058385334	0.0013527522	0.0020671436
n	0.03505302	0.0018743332	0.16263597	0.09590118	0.06721595	0.06333747	0.016750919	0.0095110275	0.00823869	0.53948146
o	0.00049941684	0.00026205907	0.03955237	0.033404496	0.6657387	0.19253658	0.017926345	0.005127651	0.0223556	0.022596793
k	7.0680215e-08	1.5809363e-06	0.00021838344	0.020377738	0.87579226	0.0901626	0.0078732055	0.0028620702	0.0018262888	0.00088578067
a	4.9434398e-06	2.5245261e-05	0.014513528	0.38226348	0.35321704	0.13538387	0.045535352	0.038196076	0.00774402	0.023116453
k	5.7645497e-07	4.1492945e-05	0.0014599898	0.0066015087	0.62598497	0.3286985	0.021974158	0.0052824933	0.006286088	0.0036701954
a	0.005420822	0.00059037906	0.037790433	0.06557159	0.5124851	0.27166033	0.072541885	0.019426199	0.0031153352	0.011397941
n	2.6341021e-07	1.548007e-05	0.00041773653	0.0017396463	0.45063648	0.47794154	0.046832778	0.009577204	0.009605581	0.0032333282
n	0.0045013516	0.00029512658	0.00035619963	0.005589442	0.28837296	0.442164	0.20318764	0.045472242	0.0067462088	0.0033148495
i	0.00014900186	4.450455e-05	0.00019056347	0.0023856424	0.0895077	0.43954235	0.29528078	0.14129195	0.022654591	0.008952888
u	7.388335e-08	9.0922936e-07	9.050124e-06	0.0005960294	0.064565584	0.23013523	0.29146805	0.37491453	0.031643823	0.0066667707
n	1.6120581e-06	4.8111747e-06	8.618811e-06	0.0009672626	0.018914936	0.10252932	0.26710138	0.59081054	0.015509816	0.0041517643
r	0.0012049502	0.00010244615	0.00022223707	0.0017643982	0.05907539	0.15771414	0.43294042	0.31920338	0.021345932	0.0064266063
ù	0.007851269	0.0007710666	0.0019172776	0.005596937	0.02461992	0.09486314	0.23899056	0.43413323	0.11577206	0.07548453
s	1.0225391e-06	1.6403184e-05	2.7185957e-05	0.0009865041	0.006924755	0.2390767	0.556563	0.14484225	0.040384613	0.011177504
t	0.00035334477	3.132438e-05	3.4924513e-05	0.00014090574	0.00413059	0.24692431	0.5187036	0.17317736	0.013653632	0.042850047
i	0.00011104947	2.088209e-06	1.2999544e-05	2.780821e-05	0.0025987474	0.06122571	0.16347456	0.47150725	0.21397172	0.08706804
k	2.6239503e-08	1.7683801e-08	6.3727256e-08	2.5108892e-07	0.00026827148	0.0021956894	0.040586352	0.28587353	0.5674151	0.10366077
o	8.43294e-06	1.17283726e-07	3.3539825e-06	0.00020824667	0.00270828	0.051220633	0.35339978	0.5666052	0.00754721	0.018298762
k	4.2688825e-08	1.9201921e-07	1.057175e-06	2.2632787e-06	0.0004459273	0.0027212573	0.015201459	0.031285387	0.79337645	0.15696596
a	0.0009903866	1.4127711e-05	0.000120060235	0.00032716812	0.0037118127	0.04620674	0.4079282	0.5037192	0.019931844	0.01705048
l	1.1619247e-07	5.0432925e-07	1.7552095e-06	1.917142e-06	0.00030751675	0.0018586293	0.010669359	0.020068532	0.80709046	0.16000125
ù	0.006386651	4.654894e-05	0.000189063	0.00030781835	0.0033966023	0.03398633	0.4020876	0.4851337	0.046869434	0.021596173
</S>	1.1127546e-05	7.436749e-05	6.1142004e-05	9.450128e-05	0.00040687656	0.0072500333	0.082953624	0.09368302	0.5649957	0.2504696
