 	lo	sentii	che	arrivò	</S>
t	0.42566156	0.038563572	0.0051358747	0.03733668	0.4933022
o	0.9670243	0.032416575	0.0002881604	0.00022642378	4.454337e-05
n	0.94529945	0.05051942	0.0038137971	0.0003336963	3.367423e-05
ì	0.98347855	0.015056128	0.0013036331	0.00015479933	6.9532894e-06
k	0.11130036	0.80403876	0.05651864	0.01729099	0.010851351
u	0.21533918	0.49053547	0.007661047	0.0065298122	0.2799344
s	0.0005883828	0.055438295	0.7983769	0.043958202	0.10163814
a	0.06681673	0.20120604	0.6780064	0.040230624	0.013740076
k	1.4514907e-06	0.00030929293	0.86122006	0.055426918	0.083042234
a	0.0006725137	0.097162105	0.16519856	0.6391674	0.09779937
ì	1.9329118e-06	0.00016925627	0.42527595	0.3312894	0.24326342
r	4.474121e-06	0.0001550972	0.3408132	0.48425004	0.17477721
t	0.005520537	0.021208517	0.33388835	0.4264403	0.21294226
e	0.00075797294	0.002734058	0.067521535	0.72694725	0.20203915
</S>	7.3890895e-08	1.419059e-07	0.007432067	0.15862463	0.8339431
