 	non	ha	che	li	aspettiamo	</S>
e	0.8850247	0.064275704	0.0005442608	0.0009567003	0.019853259	0.029345307
n	0.55792284	0.14753625	0.2642077	0.030323224	2.2639313e-06	7.713323e-06
è	0.6473008	0.32542923	0.023512596	0.0037391004	1.1376249e-05	7.011699e-06
n	0.037790906	0.9573427	0.004538738	0.00029421342	2.658463e-06	3.078184e-05
a	0.017288275	0.95633215	0.010714978	0.0012872554	0.008696838	0.0056804856
t	1.31429715e-05	0.12425343	0.7185869	0.15372889	8.7656044e-05	0.0033299432
u	3.6628684e-05	0.040129032	0.9234253	0.03554039	0.00052025315	0.0003484525
s	8.289271e-08	0.0005996319	0.022248264	0.95791095	0.001556074	0.017685004
m	0.00018161337	0.081167616	0.28522623	0.61748964	0.014070748	0.0018642064
ì	0.0011193476	0.18916097	0.5813106	0.21118878	0.013324477	0.0038958138
n	6.993324e-05	0.04603085	0.31571347	0.40487695	0.004792488	0.2285163
o	5.8653944e-07	0.0015134254	0.15658957	0.46556583	0.24242844	0.13390207
m	6.8918915e-10	1.6678037e-07	0.0011644852	0.636672	0.0043500313	0.35781327
e	2.046155e-07	6.65676e-05	0.035125494	0.8219947	0.1153684	0.02744458
</S>	3.753841e-10	3.27453e-08	0.0001416756	0.024356838	0.016484905	0.95901656
