 	devo	pulire	l	albero	</S>
è	0.9295978	0.0050025755	0.0015829134	0.011082579	0.052734066
n	0.9997857	0.00021423674	3.722913e-10	1.4143771e-10	1.9936167e-11
a	0.9288973	0.04692623	0.0018920167	0.002455112	0.019829415
k	0.02053522	0.9783497	0.0009506117	0.00014710148	1.741528e-05
a	4.768485e-05	0.5038187	0.08139428	0.31519938	0.09953993
t	0.000108809734	0.6012748	0.29357192	0.06807546	0.03696898
à	0.00036436997	0.3680965	0.6097643	0.013776866	0.007998058
r	0.00024550591	0.2274413	0.39961413	0.2675666	0.105132416
o	6.2305786e-05	0.56030446	0.033701003	0.050616078	0.3553161
t	2.885973e-10	0.0017322738	0.76264524	0.13882326	0.09679921
o	2.791817e-07	0.0035577363	0.90296215	0.058783375	0.03469656
n	1.24742e-09	4.38465e-05	0.667462	0.15866438	0.17382984
à	4.9876457e-05	0.00052655756	0.9360635	0.054108486	0.009251549
r	4.4240046e-06	0.00012839006	0.028570006	0.910527	0.06077009
b	5.18235e-05	0.03557494	0.027155686	0.7386209	0.19859667
u	8.553798e-07	0.006768884	0.0016123864	0.9620011	0.029616829
r	2.7249307e-11	7.048413e-07	0.0031780521	0.67591894	0.3209023
o	1.2427925e-05	0.0008578422	0.1111002	0.61927724	0.26875228
</S>	1.980929e-11	6.7085814e-08	0.0019660012	0.14942208	0.84861183
