 	non	mi	aspetti	che	non	vengo	</S>
m	0.15183057	0.74991053	0.007047062	0.001432127	0.0005555671	0.0027021272	0.08652202
ì	0.07225821	0.2947609	0.5503407	0.03652944	0.011646771	0.026453834	0.008010045
m	1.1253719e-05	0.68831956	0.3098091	0.0007167168	2.4165929e-05	6.484084e-05	0.0010543081
e	2.2690841e-05	0.06828938	0.891198	0.008429658	0.0010225257	0.002389387	0.028648332
m	2.7933433e-05	0.7116182	0.2628701	0.023306863	0.00021578236	0.00029271768	0.0016683475
ì	7.828008e-06	0.0017062839	0.8941559	0.07003425	0.007300171	0.01911671	0.0076788156
n	1.7259406e-09	0.019400563	0.89727724	0.04388221	0.008250919	0.0058114096	0.025377555
i	2.2165385e-07	0.113325156	0.7366666	0.0702001	0.01076918	0.006252041	0.06278672
k	1.0914586e-09	0.00014205964	0.0036756918	0.9705641	0.020198615	0.002819092	0.00260043
a	9.025002e-06	0.0001059469	0.5964876	0.13459806	0.105074316	0.10780886	0.055916194
e	7.466814e-10	8.396119e-06	0.0005109764	0.7433398	0.20236096	0.027800228	0.02597967
n	1.8200533e-08	0.00030401285	0.00014164172	0.39061087	0.5521748	0.04491359	0.011855124
è	4.434792e-06	0.00019540229	0.0020430358	0.22926624	0.6797902	0.08769805	0.001002601
r	2.5498305e-06	2.5806388e-05	0.012410871	0.005120114	0.35443696	0.54648185	0.08152182
k	3.6429233e-06	0.054066155	0.047767542	0.023382565	0.5411146	0.15478706	0.17887837
o	9.47407e-06	0.023009954	0.00969594	0.0046787206	0.15819243	0.38405597	0.42035747
m	9.1938145e-11	1.7346174e-08	2.1001695e-07	0.00070365163	0.017412348	0.6423738	0.33950993
e	8.4625775e-08	1.3699672e-05	0.0002946956	0.008772386	0.34193859	0.6122548	0.036725726
</S>	2.1293954e-10	4.3844672e-08	8.760664e-08	0.00014284639	0.0008666139	0.17886062	0.82012975
