 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.99664235	3.8311064e-05	1.3810278e-05	4.608139e-05	7.651986e-05	0.00043686834	0.0027460959
c	0.99990857	9.14047e-05	3.3185852e-09	3.4235986e-11	7.5972475e-12	2.8508704e-12	1.5503492e-12
h	0.64371186	0.18147352	0.029459221	0.026184462	0.0069420342	0.0017468606	0.11048208
a	0.05742735	0.814195	0.0593658	0.0009586935	0.0047790594	0.00019028268	0.06308386
n	0.6655307	0.32437277	0.0096918205	0.00021534544	4.444544e-05	7.2152147e-06	0.00013783552
a	0.03132777	0.46540466	0.49754143	0.0034361372	0.0017107455	5.4313587e-05	0.0005249161
v	0.0029545554	0.63705426	0.3513385	0.0075133448	0.0008386758	2.4085719e-05	0.0002765617
o	2.321838e-05	0.053995475	0.082316644	0.24553514	0.22315148	0.31230432	0.08267372
r	0.0014330234	0.17967047	0.76962954	0.03779329	0.008026736	0.00027905984	0.0031678383
à	0.032621555	0.46824464	0.48339614	0.007835473	0.0056658736	0.0005477467	0.0016885283
s	0.00021686466	0.020263001	0.885533	0.07220947	0.009936404	0.009146741	0.0026944198
o	0.0002056011	0.007881984	0.114131615	0.0629807	0.019266427	0.16384847	0.63168526
t	1.8313396e-09	1.4560618e-06	0.058585808	0.9173027	0.015854724	0.0020588825	0.006196466
o	5.3286053e-06	8.311567e-05	0.43286976	0.5249419	0.02600803	0.00086555176	0.015226232
t	1.6364747e-07	3.2366052e-06	0.005518154	0.92327744	0.05812751	0.0020846368	0.010988941
s	1.89918e-05	0.00029370293	0.14390105	0.7565696	0.0908008	0.0050404165	0.0033753475
o	0.000819818	0.0024363764	0.10765589	0.288003	0.090430215	0.0053112786	0.5053434
m	1.0476553e-08	1.8606724e-07	0.0016047498	0.883164	0.10237459	0.0037671886	0.009089403
ì	1.6649672e-05	0.00047162327	0.004271981	0.2946705	0.6611408	0.032975934	0.0064525045
k	3.4947143e-07	9.453297e-06	0.0030085885	0.1371104	0.7736457	0.040198352	0.046027187
à	1.2661292e-06	0.00096059544	0.012991843	0.24916717	0.46179304	0.18727195	0.087814115
i	1.6951383e-08	4.926108e-06	0.0013462306	0.06576032	0.7416934	0.050278746	0.14091642
m	2.119544e-09	5.893403e-09	9.798006e-06	0.008564911	0.15152797	0.30127147	0.53862584
è	3.173389e-08	2.8977736e-06	6.174843e-05	0.038096692	0.71414316	0.22536829	0.022327192
r	1.2583482e-07	1.1397951e-05	0.0004288973	0.004098779	0.41362166	0.38026372	0.20157546
i	4.084084e-08	2.4878505e-05	0.0004050907	0.021905085	0.27996174	0.5825504	0.115152806
</S>	5.0838073e-11	9.0273145e-10	2.3167543e-07	4.996526e-05	0.010239128	0.29176602	0.69794464
