 	il	morto	si	piange	</S>
o	0.32233354	0.057904728	0.0050416347	0.32361564	0.2911044
a	0.05775527	0.93859047	0.0036302195	1.9817866e-05	4.3075584e-06
p	0.57187355	0.36752877	0.060528826	1.9438616e-05	4.941776e-05
e	0.003695736	0.6883778	0.0009204447	0.30403674	0.00296932
t	0.012189156	0.73714453	0.24030617	0.0014115248	0.008948639
a	0.9544849	0.013635598	0.03132474	0.0003092065	0.0002456809
m	0.00079296896	0.44201547	0.54448456	0.0012184423	0.0114885615
m	0.055485625	0.6517464	0.2313423	0.06025789	0.0011677743
è	0.9884957	0.010209725	0.0006254534	0.000582491	8.661643e-05
n	0.0041603227	0.78773254	0.17383839	0.0016034294	0.032665227
o	0.005468638	0.78031987	0.115643375	0.036578722	0.061989456
i	2.6260906e-07	0.0026292359	0.97528607	6.526221e-05	0.022019224
k	5.1968796e-06	0.00029167818	0.99192715	1.5277028e-05	0.0077607096
l	9.1860034e-05	0.027299155	0.03454328	0.93024975	0.007815933
è	0.99417007	0.003415241	0.0012755258	0.0010513052	8.78545e-05
e	7.715118e-05	0.011247806	0.8349379	0.0051230104	0.14861417
t	1.291982e-07	1.7929715e-05	0.825376	0.00042808586	0.17417781
e	0.00019018959	2.9272913e-05	0.98158973	0.0037508816	0.014439804
</S>	1.0553448e-07	1.2909649e-06	0.075842	0.013463073	0.9106936
