 	lo	sentii	che	viene	</S>
t	0.4592519	0.027507491	0.0076890765	0.020068381	0.48548308
o	0.9650201	0.034353912	0.00031128715	0.0002319745	8.288543e-05
n	0.93969494	0.05643643	0.0033870013	0.00040094735	8.060949e-05
ì	0.98264116	0.01613972	0.0010048535	0.0002038934	1.0332119e-05
k	0.12082578	0.7685855	0.07717681	0.007811663	0.025600318
u	0.204122	0.6187193	0.008323399	0.0036922374	0.16514316
s	0.00043680065	0.056367617	0.79066294	0.03578832	0.116744414
a	0.05431921	0.25175115	0.65196747	0.031104693	0.010857501
n	1.5162858e-06	0.00034909864	0.793836	0.09753344	0.10827999
a	0.0053699207	0.013052748	0.91182065	0.06345986	0.0062966915
r	1.3302306e-07	2.7087683e-05	0.10776757	0.7650287	0.1271764
t	0.002888832	0.025016777	0.19380163	0.756756	0.02153679
i	0.014207214	0.04650691	0.18890804	0.58637613	0.16400173
</S>	1.8148748e-07	1.8604071e-06	0.07295858	0.49687403	0.43016532
