 	ho	cosa	a	fare	</S>
è	0.9350298	0.005722496	0.0031524994	0.0059528244	0.05014232
c	0.9421692	0.05782708	3.430787e-06	2.0261024e-07	1.2969621e-08
h	0.07900508	0.5103009	0.07268437	0.26119265	0.07681708
o	0.018550042	0.8864506	0.045659546	0.003910901	0.0454289
t	0.004015389	0.9483976	0.0140505815	0.0021247128	0.03141172
i	0.00025071733	0.8613479	0.13250929	0.0021226653	0.003769426
k	7.868871e-06	0.50994396	0.40961418	0.0060246396	0.07440931
à	0.0001915781	0.1087511	0.30891487	0.32291803	0.2592245
i	1.07486285e-05	0.0410238	0.2449115	0.58881265	0.12524128
</S>	1.2528727e-08	0.0035395955	0.30810958	0.029951524	0.6583993
