 	che	non	li	aspetiamo	</S>
n	0.47101232	0.01278005	0.008702202	0.22031847	0.28718698
a	0.96380657	0.031954058	0.0042347736	1.6684954e-06	2.8747913e-06
m	0.24218972	0.24819542	0.50920737	3.343185e-05	0.0003740362
i	0.007256955	0.18994814	0.11185231	0.6065264	0.08441622
t	0.001642557	0.0969871	0.88963795	0.00040910894	0.011323331
u	0.9326651	0.04490408	0.019521039	0.0011885072	0.0017211698
s	5.1650786e-05	0.080095984	0.90954953	0.00041953486	0.009883312
m	0.093427435	0.17369275	0.7285673	0.003382738	0.0009298539
ì	0.78095394	0.10914031	0.097797915	0.009462988	0.0026448432
n	0.0015084081	0.5258264	0.34668964	0.0016424169	0.1243331
o	0.0015406351	0.16268182	0.30262128	0.3118784	0.22127791
m	2.5530517e-07	0.00030285053	0.78374577	0.0016891041	0.21426201
e	6.802241e-05	0.08150066	0.7824227	0.109238595	0.026770135
</S>	1.2265062e-07	6.0649363e-05	0.101098575	0.010845233	0.8879955
