 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.8481859	0.03586967	0.004490715	0.0143612595	0.005918232	0.09117416
s	0.29340187	0.7065421	5.3559863e-05	2.4297215e-06	1.5109628e-09	2.1157944e-09
o	0.04042729	0.031258147	0.163865	0.09596185	0.021746585	0.6467411
s	0.17617676	0.46527722	0.3045862	0.052669723	0.00019669472	0.001093461
e	3.4524735e-05	0.004906903	0.7898083	0.19080815	0.013337315	0.0011047694
è	0.00010130631	0.0427584	0.44621718	0.48985922	0.008399346	0.012664479
m	1.4523129e-05	0.00096442114	0.942852	0.05217909	0.002776349	0.0012136601
b	3.912261e-06	0.00014691842	0.75253737	0.19395871	0.01745947	0.035893623
i	8.507223e-07	0.001811492	0.005459548	0.94419074	0.001901563	0.04663579
à	2.3131776e-09	1.6409538e-05	0.0015569968	0.9121564	0.040675342	0.045594793
t	4.266939e-07	6.521855e-05	0.007709478	0.5090282	0.3962838	0.08691288
t	3.4368043e-07	0.0010339472	0.0012936443	0.5203971	0.42163253	0.05564249
i	1.0867228e-07	0.0011293784	0.00010518269	0.8703893	0.042579256	0.08579683
f	6.3716015e-09	7.5691713e-07	1.4655642e-06	0.089717686	0.42197305	0.48830697
i	1.572781e-08	7.49315e-08	0.0029111374	0.866547	0.12371302	0.0068288245
n	1.9120412e-09	7.1200753e-07	1.5669387e-06	0.010140991	0.53905207	0.45080462
è	0.00033015752	0.01734156	2.2069384e-05	0.0050069112	0.95448697	0.022812344
s	3.972377e-08	1.3537172e-06	4.181755e-05	0.0013900945	0.9600365	0.038530163
t	5.48333e-07	0.0003882539	0.0014160442	0.24678923	0.6948941	0.05651179
r	2.3509045e-07	0.00057132705	2.1445545e-05	0.08584653	0.3333964	0.580164
a	2.0216782e-09	7.240191e-07	2.7165987e-08	0.0003481965	0.35008523	0.6495658
</S>	1.368529e-08	1.1436746e-06	1.34232545e-08	4.9936152e-05	0.14649986	0.85344905
