 	non	aveva	cosa	a	fare	</S>
e	0.91780746	0.070153534	0.0011381038	0.00052255776	0.0009886895	0.009389613
n	0.9802054	0.015391116	0.0037232493	0.00063768064	3.852012e-05	3.998183e-06
ì	0.3441285	0.5419371	0.10895982	0.004633449	0.00029511572	4.5903507e-05
c	0.008070415	0.985045	0.006767604	8.199045e-05	2.3444263e-05	1.1537112e-05
h	0.031574037	0.93077844	0.015468822	0.006736446	0.008837888	0.006604375
e	0.0008584634	0.7734296	0.13063718	0.0021779225	0.0012739717	0.091622874
t	1.7267405e-07	0.08085905	0.88361967	0.024688065	0.0004778864	0.010355155
i	6.502783e-07	0.0047648125	0.7439534	0.24426179	0.001742605	0.0052767727
k	3.1591239e-09	0.001561576	0.2940821	0.625894	0.005069429	0.07339285
à	4.5209923e-05	0.0013327526	0.010192835	0.27556658	0.34461454	0.3682481
m	1.3300264e-07	0.0005660667	0.011985674	0.1288805	0.7716579	0.086909756
i	2.7603024e-08	0.031027142	0.8389948	0.07005459	0.052999027	0.006924434
</S>	1.8303891e-11	2.6344838e-07	0.00024448172	0.03962452	0.042851876	0.9172789
