 	non	mangiare	la	sera	</S>
m	0.45491382	0.06130477	0.14098236	0.001149183	0.34164983
i	0.7942073	0.08459037	0.11990167	0.00070366316	0.0005970275
f	0.05682219	0.5868138	0.34758252	2.6234125e-05	0.008755282
a	0.0039594085	0.8857046	0.11006169	8.877797e-05	0.00018546732
i	9.644774e-05	0.30328274	0.52937883	0.018752892	0.14848906
o	6.807065e-05	0.09978861	0.11755342	0.34239635	0.44019353
v	3.0222876e-05	0.08018434	0.026419908	0.7899587	0.10340681
r	0.00080356176	0.45232224	0.54113895	0.0050912825	0.0006439855
à	0.00021541178	0.019943774	0.24480961	0.53074926	0.20428188
i	0.00038591053	0.4621814	0.14101404	0.21319112	0.18322755
</S>	4.4053827e-08	0.0024819425	0.01565853	0.076950565	0.90490896
