 	non	ho	cosa	a	fare	</S>
e	0.93198264	0.04452429	0.00074377825	0.00073543796	0.0019095293	0.020104282
n	0.92339534	0.07055104	0.0053553036	0.000642353	5.0911825e-05	5.042271e-06
è	0.31596607	0.6420128	0.04060952	0.001269353	0.00011923222	2.3052933e-05
c	0.021805212	0.9741508	0.003609096	0.00021953577	0.00015176866	6.358269e-05
h	0.061265342	0.7211267	0.06233824	0.016956128	0.04768807	0.09062547
o	0.0006938805	0.16932362	0.20377441	0.0039342153	0.00523372	0.6170401
t	5.750177e-07	0.016511751	0.92681694	0.035613228	0.0011429538	0.019914497
i	1.2235639e-06	0.008249812	0.88965267	0.09664731	0.0010371071	0.004411923
k	1.1466874e-08	0.00014728197	0.18185891	0.6890747	0.008496202	0.12042296
à	2.704047e-05	0.0013313531	0.025940094	0.3547906	0.36632505	0.2515858
m	2.3781672e-07	0.0004945374	0.00819157	0.1510341	0.7519417	0.08833786
i	3.4122888e-08	0.00024257033	0.8664443	0.05216256	0.06745398	0.013696483
</S>	2.9074146e-11	8.8198355e-08	0.0002630357	0.040240567	0.0523614	0.90713495
