 	non	mi	aspetti	non	vengo	</S>
m	0.0865134	0.86073077	0.006715439	0.0005452513	0.0020432004	0.043452006
ì	0.0038986926	0.7048669	0.232619	0.015100335	0.027078109	0.016437069
m	6.100567e-06	0.57655084	0.41784886	0.0010208585	0.0007510545	0.0038222552
e	3.2333746e-06	0.32976604	0.62706053	0.008637106	0.008389949	0.026143126
m	4.1974163e-05	0.73611623	0.21519382	0.017428122	0.0077628186	0.02345717
ì	1.3021734e-06	0.0153861	0.77775174	0.05508428	0.11436289	0.037413716
n	4.5491753e-09	0.03360895	0.70212454	0.10538343	0.030597074	0.12828605
i	4.481644e-07	0.10589409	0.5730619	0.12744573	0.036310673	0.15728721
e	1.1688805e-08	6.342875e-05	0.007831416	0.87358975	0.08446483	0.034050547
n	1.7928907e-07	0.00037615187	0.0019405748	0.9517846	0.041254234	0.004644183
è	2.690037e-06	0.0004814642	0.0060231	0.86608166	0.12689534	0.00051580317
r	5.333857e-06	0.00035535268	0.11821668	0.20868443	0.5796768	0.09306136
k	6.094751e-06	0.035225008	0.32491443	0.16069779	0.27271613	0.20644061
o	1.5905316e-05	0.009625247	0.08420716	0.01655127	0.26528725	0.6243132
m	1.4415256e-10	7.533394e-08	3.7961545e-06	0.0047376403	0.6142984	0.38096014
e	1.0058849e-07	6.461735e-05	0.0037405752	0.041816995	0.90601003	0.04836765
</S>	3.0321054e-10	5.4151627e-08	6.931044e-07	0.00026182996	0.12476941	0.874968
