 	se	avessi	visto	il	tempo	avessi	visto	le	nuvole	e	non	avevo	uscito	per	bagnarmi	</S>
a	0.92294294	0.0046252864	0.0008642446	0.00016788437	5.103207e-06	3.9662523e-06	3.6303696e-05	0.00010091249	7.972838e-05	5.4439453e-05	0.00010673894	9.290941e-06	0.0044003036	0.00032226052	0.009258375	0.057022184
n	0.94406164	0.047553837	0.005889903	0.0019131255	4.1058778e-05	9.01369e-06	9.175692e-05	0.0001185185	4.7140857e-06	6.1030637e-06	1.0195412e-06	7.338631e-08	0.00030537287	1.2859012e-06	2.0180428e-06	5.519348e-07
ì	0.9865175	0.013256351	0.00017996469	3.316609e-05	6.6886065e-07	1.7585725e-07	2.3961916e-06	2.434251e-06	2.5921597e-07	3.9792815e-07	1.0972264e-07	1.7176362e-08	6.017496e-06	2.9643596e-07	1.8065069e-07	7.90862e-08
c	0.21652302	0.7724682	0.010701563	0.000287198	5.2487517e-06	1.1906079e-06	4.720965e-06	3.0999076e-06	6.96017e-07	4.967004e-07	3.26932e-07	6.4876005e-08	1.8491902e-06	2.9233055e-07	8.788391e-07	1.15483e-06
h	0.21321744	0.08143972	0.16423549	0.091309205	0.017611546	0.004676559	0.0027254713	0.00030005196	0.00022913425	5.230806e-05	3.115823e-05	3.0969903e-05	0.0005301341	0.00011038432	0.002219286	0.4212811
a	0.53992534	0.21309471	0.17265768	0.0055741672	0.00054780924	0.0003498237	0.0002696189	3.5731122e-05	5.3433367e-05	1.0065631e-05	1.1158364e-05	5.6462695e-06	0.00010768852	2.5093896e-05	0.00071548746	0.06661655
t	2.1922124e-05	0.6376956	0.35250312	0.009581686	0.000115152616	8.555282e-06	4.596067e-05	1.8842911e-05	2.1057294e-06	1.2427322e-06	3.6236207e-07	1.2908636e-08	3.3596873e-06	8.854678e-08	3.4307917e-07	1.5940298e-06
o	9.478473e-05	0.040445056	0.89028955	0.065877475	0.001602544	6.988068e-05	0.0012881758	0.0002331999	5.5069588e-05	2.752066e-05	5.6726158e-06	3.543161e-07	3.5570265e-06	8.675568e-07	6.812857e-07	5.6870244e-06
r	4.588287e-08	0.019738566	0.86832875	0.09475726	0.015753405	0.00041779625	0.00081261934	0.00014910472	1.6452443e-05	1.5621548e-05	2.9988737e-06	3.1932754e-07	5.1370457e-06	3.421643e-07	3.1888294e-07	1.2864778e-06
ì	0.001316767	0.3727099	0.50615185	0.10998618	0.0028646684	0.0014225037	0.0027125836	0.0011536586	0.00036234412	0.00020385075	9.3481685e-05	2.2681606e-05	0.0007441706	0.00014634205	7.106329e-05	3.7957063e-05
s	6.3358715e-07	0.08682165	0.74693775	0.15140781	0.009315003	0.0044524684	0.00065057265	0.00018540736	0.00012333349	2.7060907e-05	2.5759962e-05	9.769363e-06	1.2357326e-05	5.2433256e-06	1.0764948e-05	1.4376464e-05
o	4.726382e-05	0.020988023	0.73103744	0.16958727	0.0034529753	0.0018899472	0.0023623225	0.0005575177	0.0016932163	0.00014556311	0.00043269573	0.00014944783	0.00021379461	0.0003446841	0.0041385866	0.06295921
n	6.182487e-12	3.5436135e-06	0.0914489	0.55994594	0.33656788	0.004074388	0.006546375	0.001117128	0.00018111631	9.525308e-05	1.39391905e-05	1.1138114e-06	2.3921034e-06	2.4651212e-07	2.1714656e-07	1.5277798e-06
t	8.139888e-07	0.0015678857	0.60388905	0.34578598	0.042811155	0.002005738	0.0034323593	0.00027571863	0.00013145366	4.2300366e-05	3.1252028e-05	1.1367869e-05	3.9854276e-06	4.9930904e-06	2.6430494e-06	3.3060212e-06
a	1.0077778e-06	0.00061054586	0.49812132	0.38308442	0.07373291	0.005017895	0.028819166	0.0047994033	0.004092884	0.0010038953	0.00033476888	4.6435936e-05	1.569505e-05	2.6412794e-05	2.6860353e-05	0.0002663421
o	7.382766e-12	1.3001076e-07	0.0042938106	0.11810559	0.85476583	0.00695272	0.013130066	0.002295655	0.0001739208	0.00024922367	2.2254368e-05	2.1466665e-06	5.9738e-06	3.6657426e-07	1.9671594e-07	2.0599805e-06
c	2.2904738e-09	4.744929e-06	0.005464728	0.06782915	0.8747522	0.038787328	0.011854639	0.0010116802	0.00011845784	0.000108661465	3.9793493e-05	1.601603e-05	8.896412e-06	1.2175798e-06	6.4744404e-07	1.8509955e-06
e	0.054683983	0.050895143	0.03028201	0.062852114	0.052950844	0.15614076	0.076615155	0.041863456	0.050516933	0.015924511	0.010212274	0.006299166	0.2752026	0.02822652	0.07147589	0.015858624
r	5.252495e-10	2.0587175e-05	0.05823831	0.1509098	0.5005397	0.1734311	0.10608443	0.008082342	0.0020390481	0.0005143229	8.3379564e-05	1.2829202e-05	2.6056761e-05	3.4397665e-06	3.015133e-06	1.1634705e-05
ò	0.00012413265	0.007247972	0.21396115	0.4486664	0.1050791	0.11583117	0.1000985	0.006080181	0.0022171466	0.0003714348	0.00010461903	5.0902363e-05	5.8111815e-05	5.2519983e-05	2.3789255e-05	3.28123e-05
ì	3.089591e-09	2.1720523e-05	0.0017165766	0.03718331	0.18068393	0.6858561	0.075493686	0.008152879	0.009330955	0.00066454813	0.00053273124	0.00028784788	1.3908149e-05	1.6397089e-05	2.1522634e-05	2.3824157e-05
c	2.3858898e-10	1.5377734e-06	0.0004053836	0.006527814	0.11896001	0.5736331	0.22334024	0.03711317	0.0320202	0.003974037	0.0023563	0.0014488444	2.7321215e-05	6.7592744e-05	6.739276e-05	5.714631e-05
h	0.007750409	0.028622106	0.3092684	0.4074868	0.11578505	0.0258171	0.007814402	0.00059361843	0.0004046478	9.49578e-05	3.8884806e-05	7.116645e-05	0.00028104644	8.929065e-05	0.0005471763	0.09533487
a	4.0440873e-06	5.9585756e-05	0.0030638254	0.04002395	0.011663465	0.0046309545	0.24633387	0.32762718	0.073286496	0.047927886	0.012322102	0.00026755827	0.041188356	0.0017689387	0.015439335	0.17439242
t	1.6666022e-13	3.831216e-10	2.9184182e-06	9.6416625e-05	0.009760746	0.048501536	0.7339875	0.15766579	0.03261715	0.016498487	0.00074541627	8.249137e-05	2.2591688e-05	4.6531522e-06	2.4508795e-06	1.1874572e-05
o	3.0905735e-08	1.4097947e-07	0.00022083164	0.013115763	0.050749276	0.011259708	0.75213486	0.1464885	0.013573907	0.011358565	0.0004476575	4.1703173e-05	0.00013324249	5.7770278e-05	4.5580877e-05	0.0003725349
r	1.5194314e-12	1.2748971e-09	1.9733636e-06	3.5093177e-05	0.008232539	0.06535351	0.69208527	0.15260518	0.033557873	0.04366826	0.0036364056	0.0006237922	0.00017338576	1.0957315e-05	1.942299e-06	1.3740694e-05
