 	il	muro	vuole	uno	specchio	</S>
a23	0.345857707448	0.083663540129	0.118742038773	0.122715797802	0.254992744719	0.0740281843526
a20	0.337490505227	0.117967710443	0.145314194359	0.126954663762	0.210335385696	0.0619375605692
a31	0.313525855091	0.155135071125	0.238359060224	0.135180762332	0.122377586133	0.0354216767477
a24	0.345638314454	0.156443156976	0.18618382541	0.101965748636	0.128833799514	0.0809351506168
a31	0.418832646157	0.140823889166	0.0821102712926	0.110926077581	0.139877357785	0.107429774107
a13	0.436475823211	0.125258512449	0.0511754209499	0.113562380996	0.197077663875	0.0764502314828
a39	0.385027629614	0.159883330485	0.0259885893046	0.0469093245453	0.308175991892	0.0740151461397
a20	0.262943745495	0.187909519047	0.0206491692845	0.0439289100101	0.397954797964	0.0866138587732
a31	0.159740547925	0.220347926031	0.0228498606272	0.0716850632547	0.433440180008	0.0919364239657
a24	0.112534171166	0.223048946931	0.0219684642093	0.0853248823602	0.436734050689	0.120389490983
a8	0.0558008209041	0.149359887352	0.0262205694019	0.0885959303972	0.54661179823	0.133410994281
a31	0.0401219732	0.118407568494	0.0210163794304	0.100960505866	0.519384207037	0.200109358003
a20	0.0394814731193	0.124671513125	0.0206235328278	0.10125847911	0.484584567972	0.229380414844
a31	0.034698386115	0.130855027914	0.0200186109871	0.117863958148	0.474535179957	0.222028806208
a29	0.0342982535513	0.151937604946	0.0209155977588	0.125823594318	0.433059494219	0.233965435663
a31	0.038840915929	0.148025034453	0.0223201693187	0.1125401819	0.424675983873	0.253597705954
a8	0.0347506540087	0.132489900563	0.0303586284682	0.106064461022	0.404453218558	0.291883125585
a20	0.0204902289444	0.125574764092	0.0570581459235	0.0846487358788	0.448251339519	0.263976773995
</S>	0.0149165377174	0.126405565046	0.0675022931257	0.0757085109545	0.45442038516	0.261046702797
