 	dove	aveva	per	stare	non	aveva	</S>
a24	0.526460551462	0.00969907311295	0.0417451284906	0.0199195146824	0.064681711771	0.160219351445	0.177274669577
a20	0.482015387643	0.00601912619923	0.0644925321893	0.0162080237307	0.0696248548257	0.166059560557	0.195580499839
a13	0.431911084495	0.00425195036035	0.088863982807	0.0153841845007	0.102421978234	0.135099803199	0.22206700744
a37	0.421790914116	0.00369677396459	0.0819856723689	0.0306413157697	0.104845787127	0.100282395266	0.256757148694
a24	0.398629374944	0.0182502921941	0.0861572887699	0.0455687709464	0.0832994437728	0.0674075893186	0.300687256805
a31	0.413245705563	0.0388500989876	0.0815636307721	0.035370342033	0.0513519514489	0.0704841999969	0.309134078409
a20	0.415191140926	0.0444293164658	0.100818118479	0.0181293428295	0.0352626584636	0.0704976941583	0.315671729488
a0	0.354411439642	0.0435117052924	0.116185312883	0.0301386844202	0.0495503200879	0.0442079300154	0.361994610434
a20	0.330002996795	0.0375790720581	0.0752460348726	0.0551149964118	0.071680136676	0.0446734415081	0.385703325599
a31	0.342977817145	0.0219606152722	0.0420879634842	0.0570797292191	0.0613330685573	0.116401377265	0.35815944439
a8	0.298580234099	0.0178764537734	0.0435962414636	0.0725704073581	0.0553880037324	0.176273994645	0.335714686236
a23	0.207253726184	0.0191109048245	0.0474025634232	0.134405265669	0.0914712810308	0.13697818246	0.363378082511
a38	0.16757574179	0.0120867855579	0.0291385500996	0.188936223374	0.112285347136	0.101678259318	0.388299091228
a33	0.131857696138	0.00841881918402	0.0225168996028	0.215551878875	0.105295506665	0.103635006933	0.412724191276
a31	0.139726878125	0.00619404579706	0.0182695621079	0.221035417888	0.0778471911663	0.136146511213	0.400780376443
a24	0.162744850948	0.00940546461604	0.0468612810348	0.198315100025	0.0831974102021	0.120574887318	0.378900978872
a18	0.118073769478	0.0146903053669	0.0639716506396	0.179458287044	0.111584210146	0.12098381976	0.391237944384
a31	0.114735015984	0.0105922398603	0.0430635529059	0.18662118484	0.0918655011835	0.164940335235	0.388182147561
a33	0.109559227098	0.0227799995489	0.0624524881843	0.165098207038	0.0871983366267	0.16199568827	0.3909160224
</S>	0.0766366674921	0.0394280478941	0.0899377847166	0.135350910765	0.102621373825	0.156470584835	0.39955460957
