 	il	morto	si	piange	</S>
a20	0.191801234043	0.285931760945	0.184421806924	0.335417956882	0.00242727871016
a31	0.0762893981273	0.260163630425	0.284580189067	0.371372463834	0.00759434205565
a18	0.101735133734	0.255119448233	0.252571416458	0.381954360214	0.00861965363272
a15	0.1886488474	0.250398235897	0.225125086326	0.332660982431	0.0031668446816
a31	0.211399837108	0.252986643179	0.230159462713	0.304318332867	0.00113571959313
a15	0.206843811762	0.254170942175	0.156920312402	0.381550679255	0.000514244689264
a31	0.181018200598	0.289217508494	0.0696524568653	0.459344581312	0.000767240573188
a29	0.142189842857	0.279450463152	0.0420541448064	0.533021115397	0.00328443448114
a31	0.144425332884	0.225999835807	0.0479644964558	0.568392872466	0.0132174671811
a0	0.138833776927	0.218066275263	0.0686040954309	0.556741403289	0.0177544537102
a31	0.0960775829096	0.151193061351	0.0956559647803	0.622232284496	0.0348411123648
a13	0.0855934487307	0.139568694533	0.103575830334	0.633386295099	0.0378757459261
a18	0.0824794632025	0.126165952392	0.115177067322	0.649482866833	0.0266946609242
a41	0.0612589636218	0.0844765784946	0.168581790734	0.638062312811	0.0476203474602
a31	0.042766331664	0.0773569258354	0.157766116975	0.61234662967	0.109763986724
a18	0.0337738258468	0.0715130936959	0.149814357698	0.634070992023	0.11082772394
a31	0.0459570742393	0.0490450099434	0.164042820387	0.632057311474	0.108897768839
a46	0.053814463106	0.0387000595512	0.166592279032	0.618150328491	0.122742859758
a31	0.074355462375	0.0335654831965	0.165748241518	0.59975587083	0.126574931429
a0	0.0814149731631	0.0284720455892	0.157345863633	0.60071516801	0.132051936436
a31	0.0891007815828	0.021488834094	0.150963426813	0.60152820507	0.136918738381
</S>	0.1145700354	0.0191682416033	0.126535504506	0.569113020535	0.170613179894
