 	non	ha	da	mangiare	</S>
a31	0.0190026416335	0.142692604296	0.196897594595	0.627158486264	0.0142486835916
a20	0.0377420677239	0.173230272296	0.152819894518	0.606587347762	0.0296204204669
a31	0.0508806499065	0.158035344942	0.182646080372	0.577895387588	0.030542540374
a41	0.134643807022	0.157703458722	0.148846915863	0.521986919065	0.0368189035988
a10	0.250468174909	0.205937745293	0.0708179040706	0.412611782248	0.0601643864804
a31	0.229711127506	0.184584732772	0.0657888747626	0.464246878889	0.0556683796515
a15	0.153869258296	0.150790805615	0.0854005498014	0.509488010343	0.100451382951
a31	0.0891424816419	0.164810246738	0.0685246711151	0.468711683628	0.208810930286
a39	0.0656931507755	0.154658783389	0.0804686160054	0.392911317613	0.306268146731
a37	0.0559341344103	0.161197958032	0.0994717713607	0.317873006194	0.365523145339
</S>	0.0412748337488	0.174442101813	0.0817822430162	0.321975221977	0.380525612613
