 	deve	che	entra	da	qui	</S>
a31	0.108033505474	0.064010058978	0.188190083734	0.24155267338	0.316639001837	0.0815746785601
a21	0.171327661098	0.109879045045	0.12237972705	0.246381156842	0.318877420136	0.0311549808502
a31	0.160412710097	0.199935820513	0.114748510293	0.241685388299	0.26770877891	0.0155087955226
a20	0.168537735269	0.253133538942	0.110044535463	0.209173767898	0.251535264083	0.00757517257791
a11	0.206518477493	0.195548223341	0.224596249784	0.153106631123	0.215787748662	0.0044426877913
a31	0.202626498634	0.107827781828	0.275651719291	0.14826832827	0.260386000842	0.00523969155043
a37	0.15448947887	0.0777975189267	0.281026336172	0.132241262355	0.330995242841	0.0234501782441
a31	0.077214648863	0.0522246289481	0.30050082823	0.121585696204	0.348850343014	0.0996238704934
a8	0.046449987786	0.0258434587449	0.258891881165	0.118938545402	0.423804175738	0.126071965107
a31	0.0390041203821	0.0166403233073	0.282678625195	0.0918346147479	0.444699306579	0.125143006896
a46	0.0475242266872	0.0200588620303	0.257597321307	0.0776390296419	0.462813300193	0.134367239112
a31	0.0517093311369	0.0204959172212	0.221867079173	0.0725943974183	0.466207845864	0.167125410604
</S>	0.0360056517244	0.0156658916049	0.255911087805	0.0608075404856	0.409202840632	0.222406977752
