 	non	sono	ancora	vestita	</S>
a31	0.0531836281346	0.079002419695	0.4537860848	0.381990849395	0.0320370080214
a23	0.0916914312461	0.048210184015	0.404044984307	0.400024705628	0.0560286931198
a31	0.147156139642	0.0479579756672	0.416057970142	0.340040688512	0.0487872342787
a7	0.181117161963	0.067243936058	0.453001822169	0.272645721565	0.0259913647894
a31	0.242918356675	0.0601306812647	0.403775986312	0.276235438626	0.0169395322341
a13	0.270966643049	0.0566702162366	0.363700081101	0.287138773291	0.0215242773836
a31	0.248465992531	0.0578900299757	0.347050320778	0.31895684071	0.0276368091587
a37	0.202753934044	0.0793622088107	0.249872896006	0.38863161717	0.0793793357467
a18	0.121766000457	0.120093672101	0.152267641999	0.440160712923	0.165711953829
a31	0.0489965259148	0.120690757959	0.117429641052	0.440130863674	0.272752195436
a46	0.0415814139883	0.136101451309	0.090500746646	0.369030116258	0.362786261312
a8	0.0559964412318	0.151195920978	0.0764462416007	0.334862459019	0.381498934737
</S>	0.0561964150242	0.153957300217	0.0647382673189	0.33778314641	0.387324873809
