 	dei	genitori	</S>
a31	0.339097287717	0.63886647246	0.0220362684379
a20	0.312831262753	0.630635365393	0.0565334105829
a31	0.273055145661	0.655465962598	0.0714789275162
a18	0.275661422218	0.656844888599	0.0674937050666
a24	0.332570240879	0.5397994962	0.127630261644
a28	0.38841193928	0.411942163733	0.199645905061
a31	0.303852450826	0.381235488044	0.314912063717
a20	0.157072290869	0.436479696203	0.406448003669
a31	0.0736197856641	0.449673501036	0.47670671979
a20	0.0567089056185	0.466289307197	0.47700179483
a39	0.119476112658	0.512759035874	0.367764831277
a46	0.166544920424	0.523493895395	0.309961167026
</S>	0.166118862428	0.530219419048	0.303661725413
