 	l	ho	sentito	che	viene	</S>
a34	0.00640038807214	0.00639991613575	0.484973462778	0.10943283845	0.0207531140168	0.37204027658
a46	0.00890247213952	0.00958500246942	0.47948129816	0.10667876915	0.0166303342148	0.378722094967
a41	0.0100335001801	0.0106858025666	0.526263546347	0.0568607398233	0.0133388728761	0.382817527555
a19	0.030872141296	0.023630186086	0.43593300763	0.0901009653144	0.0454326666776	0.37403105347
a31	0.0808635978727	0.0265020630832	0.280397767076	0.132152387238	0.104679750417	0.375404456333
a20	0.0949888110649	0.0468938131284	0.161187756221	0.106679099679	0.213943309719	0.376307223571
a31	0.0602424641579	0.0525724081942	0.10118809697	0.151309752693	0.284388832696	0.35029845107
a24	0.0463707503227	0.0572549367691	0.0834467700171	0.175491058098	0.283399419954	0.354037071977
a31	0.0354031093007	0.0587952687101	0.0973519254411	0.115422057766	0.291017011745	0.402010633672
a23	0.0271409892262	0.0548011522114	0.0954184833731	0.086464135402	0.31548382836	0.420691417197
a20	0.0363994947555	0.082211011871	0.0333508439606	0.0908421785977	0.346571831845	0.410624647532
</S>	0.0384859399979	0.0864106864549	0.0179022600261	0.0989275403744	0.349051921461	0.409221660366
