 	il	dito	si	gonfiò	</S>
a39	0.466058906017	0.10464245999	0.297792679714	0.114230535507	0.0172754450261
a13	0.396943288192	0.0672067775243	0.388206257558	0.131149483998	0.0164942036807
a31	0.315271028656	0.0526207279328	0.470253237079	0.154843566773	0.00701143423719
a20	0.328289218038	0.04697432522	0.480033951053	0.140137807416	0.00456469392869
a31	0.391713209084	0.0282615192416	0.401860782578	0.170604222256	0.00756025191053
a11	0.375279681402	0.0206751909924	0.356098878846	0.237050806752	0.0108954071378
a31	0.287948277894	0.0255588165263	0.367536970269	0.293277822275	0.0256780856217
a39	0.189370480017	0.0323877356825	0.365509412335	0.361222244845	0.0515101077964
a31	0.134185622462	0.0327453011304	0.358436327327	0.374987957437	0.0996447704558
a41	0.12599299262	0.0602149943398	0.342631699701	0.371100147294	0.100060151202
a46	0.0794160354396	0.0919928605119	0.282476741307	0.478728829565	0.067385530394
a31	0.0677695349421	0.0902398051647	0.242781302259	0.411661136812	0.187548222191
</S>	0.0787508728244	0.0850940151266	0.243018118887	0.288637033842	0.304499956335
