 	non	ha	che	li	aspettiamo	</S>
a46	0.0367507084129	0.265201621441	0.0175676856214	0.0683940613352	0.545872801706	0.0662131071147
a31	0.023415231722	0.218606509844	0.0178161382595	0.128493521406	0.544026476038	0.0676421005504
a15	0.0318242470564	0.181956242835	0.0382220769242	0.116802494773	0.603922381565	0.027272545634
a31	0.0621091473819	0.167983798471	0.125067607865	0.119740289268	0.511543574176	0.0135555938396
a28	0.179974983344	0.127814306483	0.158892190498	0.109521335194	0.417721204543	0.00607598467893
a20	0.280767910843	0.0852078564813	0.0873100854877	0.0403876308613	0.503701423724	0.00262508329168
a11	0.242452221189	0.0946118424154	0.0441387153777	0.0199091166371	0.5955858302	0.00330227914195
a31	0.207582917028	0.079160956019	0.0447229790051	0.01561599926	0.625208494067	0.0277086722162
a11	0.143218002447	0.0558170869912	0.0398490767755	0.020977646688	0.703705364022	0.0364328365118
a31	0.0540549364092	0.0362770241012	0.0257040105725	0.0255172951558	0.804714845341	0.0537318992406
a46	0.0245191140378	0.0206841864912	0.0261759365925	0.0395594819597	0.82096293978	0.0680983467609
a31	0.0175026605686	0.0146995631939	0.0256662702293	0.0478194819343	0.827707433927	0.0666046051203
a11	0.0216768369293	0.0165710544116	0.02557072889	0.0552741255339	0.808126599309	0.0727806844201
a31	0.0261803384309	0.0238010964035	0.025325254092	0.0585317546651	0.766277110436	0.0998844743774
a11	0.0334016468941	0.027346665609	0.025536566686	0.0605468339748	0.701644964145	0.151523334406
a46	0.0519529374045	0.0418018456859	0.0323497181105	0.094040005631	0.575818145382	0.204037344015
</S>	0.0618256228008	0.0562431636146	0.0317850028546	0.11256832517	0.495804611691	0.241773268268
