 	l	ha	scritta	</S>
a20	0.204930240331	0.23034347864	0.541266117524	0.0234601805527
a31	0.0808565960345	0.225343221782	0.660389077048	0.0334111236056
a35	0.0468433187813	0.220889196689	0.664224465201	0.0680430319015
a31	0.039030638693	0.226230016623	0.665642686452	0.0690966717618
a35	0.0551800479424	0.198817418794	0.709486257151	0.0365162761026
a31	0.0810598721679	0.194477554	0.697873174117	0.0265893947179
a41	0.0572976884154	0.15436169327	0.727229807772	0.0611108102726
a31	0.0286255595805	0.0712018754668	0.733457204591	0.166715355004
a11	0.0416218259898	0.0694179495946	0.612365658537	0.276594566181
a18	0.0616083617333	0.103919827882	0.464411387886	0.370060427867
a13	0.0569906615487	0.131813862062	0.384560402399	0.426635081762
</S>	0.0519318823726	0.150299453633	0.361058054806	0.436710614681
