 	essendosi	vestito	</S>
a46	0.53259882703	0.274020544051	0.193380622895
a31	0.603319208343	0.246280526018	0.150400256074
a18	0.685288712981	0.258512935061	0.0561983300703
a31	0.693251554527	0.282753304299	0.0239951281935
a20	0.595507421616	0.343406391559	0.0610861836332
a46	0.421822299245	0.405253396755	0.172924309524
a20	0.323260491858	0.362190395965	0.314549131481
a31	0.209756631156	0.327176254568	0.463067125813
a0	0.167925412861	0.355718815876	0.476355770157
a46	0.252974696049	0.379415495672	0.367609804606
a35	0.285050585559	0.428469851464	0.286479552962
a46	0.213953657367	0.513438100901	0.272608236361
a24	0.124493630537	0.551390527089	0.324115850517
a46	0.064536379887	0.566953833158	0.368509793385
a24	0.0346929309697	0.539700416039	0.425606668529
a31	0.0157129257294	0.468728083666	0.515559007801
</S>	0.00991445233041	0.433437098542	0.55664845098
