 	il	ladro	poteva	entrare	da	qui	</S>
a39	0.199785674461	0.281552650114	0.23895317752	0.005706160726	0.0380551976385	0.229520646462	0.00642649409298
a46	0.200826828187	0.324869032366	0.22426923674	0.00834272346193	0.0153247260714	0.220868449849	0.00549899640737
a31	0.201954868995	0.260451151722	0.29903538182	0.0109848682264	0.00790300256727	0.217288786318	0.00238194887289
a35	0.225294562101	0.198249942803	0.352212983788	0.0102948439502	0.00515015611971	0.206797889265	0.00199961771618
a31	0.234167304232	0.191886796388	0.344261574519	0.00610516812921	0.00393397468554	0.217770829759	0.00187434116068
a20	0.242393522255	0.176418495677	0.310726692966	0.0302764243386	0.0052207690977	0.232111661525	0.00285243627528
a31	0.258320897139	0.169431109389	0.244042436155	0.0383178468684	0.0220437389373	0.264532143161	0.00331183826479
a39	0.253204471946	0.148992452405	0.170995660197	0.0645857475454	0.0477639472763	0.309610092447	0.00484763106181
a3	0.245808496705	0.111886037696	0.114761764331	0.114182375229	0.0639504660578	0.340486533384	0.0089243147354
a31	0.226824855935	0.0950224982727	0.12273056761	0.0821013311652	0.0552399722901	0.376846231182	0.0412345239504
a7	0.208249139434	0.0922312073636	0.11108728113	0.0868339394403	0.054257373137	0.390379712889	0.0569613441711
a10	0.216275435777	0.102258184125	0.0640994909191	0.120686551347	0.080148041543	0.379623118374	0.0369091862497
a31	0.223359620472	0.12063180327	0.070599348709	0.0844868592449	0.071484205901	0.375296621722	0.0541415313559
a11	0.16950372181	0.138971597684	0.066820865395	0.116672631388	0.064302332025	0.379188387142	0.064540452836
a18	0.126820819808	0.163874488539	0.0363217631022	0.153977824491	0.077935529721	0.374032469269	0.067037097636
a28	0.150519778827	0.196704078797	0.0273987343343	0.1052252495	0.073600859055	0.365628591536	0.0809227098453
a31	0.17915413921	0.199840031673	0.0190216722734	0.0649939165057	0.0476283258545	0.350692536712	0.138669379522
a11	0.181716521321	0.177074793856	0.0219275044818	0.0629673940593	0.0473326609344	0.348662222807	0.160318898707
a13	0.162442124107	0.162143762594	0.030542251549	0.0684551652141	0.0668730092915	0.389202324832	0.120341358596
a31	0.114830855498	0.163506656817	0.0219982779716	0.0624853950456	0.0464718798108	0.395409990871	0.195296929725
a20	0.0926973979297	0.164455458446	0.0426981553075	0.0563749979834	0.0446120167479	0.34315998413	0.256001985535
a31	0.0858881165556	0.155414461844	0.0487329320238	0.0391068322919	0.0430538709632	0.33791909535	0.289884686665
a8	0.074235138592	0.1588717099	0.0557719360275	0.0238664194201	0.0383227070509	0.326974868783	0.321957207375
</S>	0.080176068945	0.168093898554	0.0862898807778	0.0185129495224	0.0528923199854	0.291898307091	0.302136571787
