 	non	aveva	dove	a	stare	</S>
a31	0.113920641344	0.0882194030438	0.35744483474	0.355526036252	0.0394842360747	0.0454048375171
a8	0.115422631324	0.11618242792	0.31781407672	0.347676489659	0.042942163316	0.059962187469
a31	0.173924480405	0.0758899512801	0.358955253403	0.30299442448	0.0382313193137	0.0500045549625
a28	0.203684040202	0.0757824471016	0.361233335953	0.251417829972	0.0438456075606	0.0640367359482
a37	0.258545426865	0.0823741648071	0.267452287655	0.19946335685	0.0783732376345	0.113791530178
a31	0.312324749965	0.0512893501008	0.221864641255	0.256411325769	0.0700816400615	0.0880283050354
a18	0.246265143477	0.0380443893246	0.157931524418	0.287136164022	0.14778253407	0.122840260849
a0	0.164485244035	0.031252917161	0.0938018915596	0.187445250541	0.286678362757	0.236336338021
a23	0.177769552444	0.0223987433322	0.0905203511328	0.0966417283537	0.311741414119	0.30092819836
a8	0.144090546678	0.0175235848746	0.0968167252416	0.0894132570279	0.30024943624	0.35190644572
a31	0.132082510095	0.0118028070667	0.0976039229824	0.130838676899	0.245889048527	0.381783036671
a20	0.150306360805	0.0147337016069	0.0999256677103	0.142079313662	0.207111569089	0.385843384988
a31	0.148657564799	0.0151562955883	0.0903816886755	0.144788938524	0.194294454585	0.406721074596
a20	0.165274296858	0.0194835402067	0.0986809104222	0.142053746686	0.16165345495	0.412854064399
a24	0.169705316372	0.0226628285001	0.117194384736	0.122945457796	0.175672054443	0.3918199404
a8	0.133631973985	0.027910056635	0.108134069146	0.123860378651	0.204935533326	0.401527970467
a31	0.112970090526	0.0279638649046	0.0748236686244	0.120310152616	0.196497581166	0.467434637489
</S>	0.128377160697	0.014525481727	0.0435273792473	0.118168180592	0.177945935091	0.517455858744
