 	l	ho	sentito	che	veniva	</S>
a41	0.0035499343527	0.0124587360618	0.274294881269	0.15227805706	0.513850708527	0.0435676932073
a31	0.00340447858745	0.00959768382245	0.251716147471	0.280603079766	0.410763929496	0.0439146953732
a24	0.00496167934786	0.00745997534433	0.306527967097	0.304503587132	0.334558749653	0.0419880480366
a15	0.00767025474722	0.00960823369908	0.374239650068	0.178611108621	0.361744107287	0.0681266457912
a28	0.0256158135807	0.0137626751053	0.354615756296	0.140528080147	0.347170625559	0.118307051991
a0	0.0879974802904	0.0240418785149	0.260489188325	0.125850197236	0.326904334788	0.174716931126
a31	0.101673356159	0.0244445571864	0.185182639779	0.115539231059	0.396536581851	0.176623656855
a11	0.0852368323135	0.0780467430059	0.133104738518	0.126776860404	0.392225834797	0.184609013618
a31	0.070937216597	0.0971375280203	0.076440603662	0.115199500905	0.381212021379	0.259073132886
a39	0.0898861863285	0.104287276066	0.0419650700707	0.0792255190387	0.3507932078	0.333842754275
a20	0.123328445712	0.170093303806	0.0176168270053	0.0530007358727	0.24224150174	0.393719210418
</S>	0.109730741	0.188533975435	0.0125743474872	0.0468805816907	0.22103107067	0.421249297049
