 	mia	figlia	vuole	andare	</S>
a46	0.205157204404	0.225198051817	0.083133916112	0.33634243754	0.150168390975
a31	0.19481657674	0.135542480137	0.128850464501	0.389168787407	0.151621697986
a7	0.228925460153	0.158860586686	0.113611339718	0.419816955422	0.0787856716699
a20	0.249283342257	0.167329863142	0.0584530376347	0.442653204007	0.0822805696945
a31	0.167561425971	0.163271706626	0.0370316538636	0.561499339002	0.0706358759182
a46	0.0797517406883	0.125396924517	0.0275224184579	0.658022778134	0.109306118079
a31	0.03756703895	0.091714141011	0.0336020985751	0.693314168845	0.143802524916
a46	0.0217755066456	0.0800403391041	0.0426124437748	0.670502996282	0.185068707095
a31	0.0112364078251	0.0798828130855	0.0365014202364	0.618260389427	0.254118965612
a11	0.0236263312003	0.0831558837076	0.0753132158886	0.532410809542	0.285493758751
a3	0.0369173960345	0.070013307266	0.107377851858	0.466116059954	0.319575388204
a31	0.0243422083209	0.0947699507977	0.0645517016003	0.477616098425	0.338720035235
a27	0.0635180706145	0.0719056715613	0.0750892878951	0.430227753542	0.359259215332
a0	0.122921067113	0.0345509831869	0.0986449661498	0.352843320367	0.39103966768
</S>	0.131440817509	0.0252658723056	0.0842352378141	0.348396296963	0.410661784214
