 	Marika	è	che	si	sposa	domani	</S>
a27	0.280272388214	0.0389586309996	0.157054293141	0.121090280501	0.105360981743	0.242761606641	0.0545018151119
a37	0.273437810499	0.0269875650009	0.198375302503	0.105704681091	0.143858835251	0.232521857489	0.0191139481833
a31	0.226990913801	0.0114743646309	0.239697541305	0.135656935978	0.152777907628	0.226838549847	0.00656380245964
a11	0.22073251778	0.0353681671067	0.183395654016	0.132261215197	0.209796024141	0.216039984925	0.00240644813283
a31	0.220277035646	0.060756949374	0.131154391803	0.0918844708352	0.282737450274	0.212204254198	0.000985447037898
a37	0.214650007894	0.0450181443822	0.113297812182	0.0589613646539	0.35030217416	0.217373858552	0.000396626382479
a31	0.216708543903	0.0275858222996	0.117247656914	0.048147898289	0.288607211553	0.294564601878	0.00713824131622
a6	0.15526110096	0.0491299356476	0.109495915034	0.0551631583073	0.221335698052	0.392366136562	0.0172480407091
a20	0.0802525755659	0.0770014860202	0.0687018703305	0.0468678586908	0.223376305437	0.435992466114	0.0678074311844
a31	0.0514106096433	0.0629951127855	0.104418222407	0.0406969193666	0.206154121604	0.44481028108	0.0895147372751
a20	0.0401038945548	0.0822515254406	0.157797422587	0.0447492805113	0.163876003231	0.445696116935	0.0655257716093
a31	0.0447897535931	0.0997469298986	0.154204437452	0.0320312248507	0.128061496021	0.428981794112	0.112184378118
a0	0.0458794770655	0.116473450635	0.140894731765	0.0249159292645	0.112885176022	0.422920546837	0.136030697188
a20	0.0437489127245	0.131555163179	0.146099908265	0.0233624053765	0.0687364730206	0.471873629946	0.114623499196
a31	0.0337734613947	0.0937851895161	0.110860730203	0.0143819050067	0.0595567144959	0.485500595115	0.202141394753
</S>	0.0274189162727	0.0750314506319	0.0726735136687	0.00896396696724	0.0597240965283	0.466338775258	0.289849282208
