 	sono	vestita	</S>
a31	0.363002084651	0.558911148358	0.0780867803348
a20	0.331032632909	0.564916108041	0.104051280752
a31	0.28407619895	0.587985753236	0.127938068132
a41	0.260888813403	0.59748842402	0.141622772419
a46	0.219032541721	0.49586276334	0.2851047037
a18	0.150194966197	0.435815000713	0.4139900421
a24	0.129515440603	0.39824200555	0.472242564233
a31	0.101294068872	0.375446931627	0.523259008211
a11	0.0821799657044	0.4035331405	0.514286907137
a0	0.113467554442	0.404727586047	0.481804877126
a15	0.138399717489	0.401286586839	0.460313706035
a8	0.13870360854	0.407830677134	0.453465719372
a39	0.144783167218	0.422540948719	0.432675889371
</S>	0.163822555508	0.433424433845	0.402753016786
