 	vuole	bianco	</S>
a20	0.476120082976	0.409807036	0.114072890482
a31	0.522401374682	0.358103884067	0.119494765623
a11	0.466055672761	0.367410657476	0.166533690915
a31	0.442374877854	0.405391894612	0.15223323066
a39	0.452439202351	0.342188229604	0.205372554898
a20	0.354664767448	0.274082555935	0.371252671483
a31	0.288597208232	0.318542189112	0.392860614034
a39	0.245047347556	0.294016300285	0.460936364725
a46	0.155193745205	0.241199297882	0.603606962042
a24	0.118994797941	0.275939220696	0.605065980221
a46	0.124758353079	0.285483866488	0.58975777182
</S>	0.119059090216	0.270519368235	0.61042152792
