 	siete	cucinato	</S>
a20	0.455069935579	0.33077550031	0.214154579806
a31	0.307905342415	0.467062185237	0.225032495411
a18	0.384859858047	0.398822610479	0.216317545189
a21	0.562705062402	0.233873284148	0.203421645135
a37	0.614317050567	0.193280227671	0.192402707393
a21	0.523786315036	0.254915556257	0.221298107951
a31	0.379044773801	0.324543399419	0.296411805957
a18	0.240891935038	0.425438758873	0.333669297959
a31	0.131766223665	0.465258516738	0.402975258093
</S>	0.113673291868	0.412516174439	0.473810530607
