 	forse	sono	usciti	</S>
a23	0.394213143238	0.17536102881	0.329801059931	0.100624778301
a31	0.290489737745	0.230262645197	0.378481051908	0.100766576108
a23	0.268689388659	0.215349398111	0.474195416519	0.0417658086429
a31	0.287924332614	0.184966506289	0.505054396394	0.0220547658058
a10	0.360128591931	0.14009402685	0.491871054919	0.00790631135589
a37	0.385365332844	0.111747567843	0.492542853888	0.0103442436608
a31	0.367344943509	0.0907334821143	0.497156951193	0.0447646445437
a37	0.311523046617	0.0666647265424	0.489326681234	0.132485572004
a31	0.179204889515	0.0509509428015	0.531523807219	0.23832036242
a39	0.0886893339868	0.0569658890939	0.555083523156	0.299261233065
a31	0.0356647440259	0.0630591372599	0.604375855724	0.296900242614
</S>	0.020452425413	0.0471959013973	0.652521893046	0.279829765965
