 	io	al	mio	fratello	non	gli	lo	scrissi	mai	una	lettera	al	mio	fratello	</S>
a31	0.121410626489	0.116952325633	0.0159980297051	0.00660807921935	0.00333442004628	0.0251302289299	0.0032088991954	0.0913551193468	0.173471439347	0.0987551066737	0.00888395356079	0.0963739592918	0.177325929356	0.0299464661034	0.0312454175113
a1	0.0830929799883	0.13483108355	0.0300243116559	0.00883424507758	0.0299903968292	0.0328659665181	0.0201354968827	0.0944576366818	0.178895639725	0.110958672188	0.00552537408561	0.0434074685377	0.187716975878	0.0247920888078	0.0144716773718
a31	0.0322281126811	0.096662190334	0.0300964313849	0.00878326915273	0.0370248119853	0.0748741749566	0.0333215025989	0.0900477570419	0.136827405477	0.13543879254	0.0160041507187	0.0260999333882	0.200554219864	0.0729056058967	0.009131655658
a20	0.019574835363	0.0953678068734	0.0237827992763	0.00634259775444	0.0260715758536	0.0840003117757	0.0543526575846	0.0479105985832	0.0618430530127	0.191048417186	0.0594661135251	0.0299557214464	0.198083232607	0.0936584404264	0.00854185081802
a31	0.0253552363858	0.113058932586	0.0245264243419	0.00564287672488	0.0224924222677	0.0580531755941	0.0538506176888	0.0392683441949	0.0292834141849	0.186308054394	0.0877938668433	0.057262986352	0.201795715768	0.0852384116186	0.0100695468503
a46	0.042651923667	0.096348303796	0.036528985769	0.00756709252429	0.0113677052405	0.0458778877912	0.0509010159549	0.0617947095761	0.0208121058083	0.156095578332	0.0784940457212	0.0762986011077	0.213359129911	0.0903753718787	0.0115275680439
a31	0.089757442836	0.0609924130014	0.0439867917971	0.0102845243955	0.0111789577334	0.0344289514549	0.0682182536958	0.088850350028	0.0267265391599	0.126100217315	0.0518292890912	0.0541016874658	0.206822326576	0.107230315268	0.0194919516236
a20	0.0976134748667	0.0415035905152	0.0440052089245	0.0282976498948	0.0100126826681	0.0170568428933	0.0502025667332	0.120806222438	0.0257567254066	0.0928667597245	0.0334096681489	0.0447491342864	0.218019449896	0.149673779265	0.0260262538981
a31	0.0469159034577	0.02546327383	0.0372167983899	0.033548642093	0.00866785892086	0.0278342824475	0.0552345466711	0.217851744231	0.0183243578642	0.0461277010902	0.0273794816208	0.0396073706782	0.215095613708	0.130383299966	0.0703491206738
a32	0.017456965667	0.0120793355219	0.0143442938344	0.0135084299179	0.00718797375264	0.093213174185	0.0684970999457	0.252725268726	0.015594769009	0.0240904176295	0.0149030021957	0.0230950231123	0.230637581831	0.126566055635	0.086100608382
a11	0.0075109086122	0.00760477433762	0.00996041613007	0.00753689721457	0.0113685472515	0.16212496036	0.055536789587	0.191562383938	0.0115939789637	0.0339520724875	0.01060784061	0.0233004430598	0.259192224561	0.159803332986	0.0483444371867
a31	0.00422997308392	0.00430275620398	0.0088194824378	0.00678518318644	0.0140051499936	0.146902545652	0.0642143857107	0.156365084907	0.0177744496036	0.0512223755975	0.00778990939867	0.01905394101	0.241357236955	0.161375501006	0.0958020276626
a20	0.0033093375633	0.00302378105704	0.00794610602508	0.00675131821694	0.0193232221222	0.144410993628	0.0665213974709	0.134731061639	0.0206500831359	0.0528003488139	0.00848639402263	0.0133853644312	0.177084496779	0.181093454127	0.160482651573
a4	0.0044921781053	0.00298580624306	0.0104667320524	0.00766564021451	0.0226474575754	0.18466810652	0.043963171259	0.129261336356	0.0154518665903	0.0507305896186	0.0099323578063	0.0160857190923	0.154110700287	0.209400579391	0.138137783506
a31	0.00441468633335	0.00229638747082	0.00855362224576	0.00708971000604	0.0136579121857	0.130423257716	0.0348931675263	0.136309096326	0.0213302901344	0.0590385214587	0.0100907831112	0.0302629355016	0.171845620578	0.214813401371	0.15498063488
a28	0.00385336290906	0.00212845988886	0.00912764994358	0.00844798787331	0.0308054771811	0.111555930273	0.0295325839364	0.0878072626649	0.0270179298135	0.0763980032216	0.011797124206	0.028599355751	0.137707876869	0.238719895204	0.196501123317
a31	0.00571623713889	0.00189534009108	0.00955469339	0.00855889657564	0.0360662937281	0.104069708217	0.0203292237204	0.0569428145992	0.0213844331778	0.101710861491	0.0199116521676	0.0371183754795	0.119869284917	0.229993976259	0.226878228126
a18	0.00799687161276	0.00283763421035	0.0263909072517	0.00829982321938	0.0202099746904	0.0582457863453	0.0193054368041	0.0478744920507	0.0169362632701	0.0868737599656	0.0263177224928	0.0395151444346	0.10771390759	0.268618460273	0.262863815565
a8	0.0105607535299	0.0050740338603	0.0423748566907	0.0142792638887	0.0200370410963	0.0872015857953	0.02552651523	0.0571129820512	0.016256877785	0.0454680749789	0.0254002960177	0.0186641273522	0.07258887857	0.290753703291	0.268700995532
a31	0.0272275483363	0.00442714110307	0.035789863793	0.0196124940903	0.0152944610221	0.0756258351907	0.0272827558307	0.0605835666076	0.0339353548957	0.0336767859628	0.0246753209118	0.0291824548258	0.0977654593537	0.20657827983	0.308342668024
a8	0.0300249280194	0.00400260818122	0.025233162725	0.0161822240479	0.0101972413714	0.0679236492328	0.0236854910152	0.0285581410553	0.0358909985919	0.0272199836252	0.0392830074284	0.033142352308	0.107274871806	0.220481315343	0.330900021821
a23	0.0166732940082	0.0049151998718	0.0239232334823	0.015731552786	0.0116463450686	0.0816541899907	0.0220050460512	0.0479609074273	0.020153757861	0.0246369091179	0.0449098199805	0.0188057787184	0.0718783783793	0.268286692314	0.326818891734
</S>	0.015832222443	0.00500751707351	0.0301737439619	0.020058798776	0.0138660358316	0.067793875222	0.0243627172173	0.0770392658886	0.0195170321392	0.0263736798571	0.0354127219508	0.0151009053712	0.0591605666696	0.258579314157	0.331721596067
