 	venne	scritto	</S>
a29	0.49427736982	0.32085068712	0.184871928512
a24	0.484660635076	0.31247900749	0.202860357709
a37	0.477938505021	0.31610903963	0.205952470333
a29	0.456998370442	0.323678187717	0.21932343675
a13	0.392983888049	0.336393443619	0.27062266737
a11	0.31199605659	0.367549587684	0.320454360077
a31	0.239365321399	0.380013452865	0.380621222959
a39	0.207700365586	0.343603578942	0.44869605732
a18	0.178025471633	0.305172272654	0.516802259373
a8	0.098586755191	0.292326120485	0.609087136458
</S>	0.0664707734854	0.282243309783	0.651285935229
