 	avete	cucinato	le	verdure	</S>
a20	0.348450533135	0.0232157464135	0.263384993627	0.287887643121	0.0770610741548
a31	0.223490072332	0.0455656934497	0.414738749476	0.225332910061	0.0908725604437
a37	0.245499015502	0.0430683277846	0.360653970159	0.226174052953	0.124604632705
a10	0.407052723812	0.0236039992309	0.159706439983	0.235299208074	0.174337633811
a20	0.472556542629	0.0183936673723	0.0879617418883	0.210099209931	0.210988848572
a28	0.402809456534	0.0634792309749	0.0679071386695	0.222317884936	0.243486294093
a20	0.270815337748	0.135537533301	0.0705336456614	0.256654682833	0.266458795004
a33	0.164921812646	0.190932617172	0.0843373660799	0.273091592686	0.286716613923
a8	0.101675414329	0.203269557034	0.0999024053845	0.293262932355	0.301889690021
</S>	0.0959264305668	0.187017600065	0.108306761983	0.301114583377	0.30763461441
