 	che	non	li	aspetiamo	</S>
a20	0.227949971894	0.0825371580373	0.071879745543	0.182807024553	0.434826092926
a8	0.169958111412	0.135539577021	0.0774614146966	0.203321098843	0.413719794012
a7	0.19655897525	0.16165531359	0.0430349954751	0.166965710608	0.431784985796
a35	0.208551669918	0.16952842527	0.0307746449166	0.148649144033	0.442496098495
a46	0.241025175183	0.149175384483	0.0824612292578	0.110711660533	0.41662655209
a31	0.273340927638	0.114922869605	0.0964479436819	0.0432764392399	0.472011823254
a11	0.229073259297	0.0985562010824	0.100452314728	0.0521156224498	0.519802597578
a31	0.174366079326	0.100656935043	0.10692346384	0.0560970649227	0.561956447659
a0	0.130599348158	0.093336185842	0.0910320784887	0.0918277831048	0.593204608086
a31	0.0652418397318	0.0634578908389	0.0883364425499	0.193885376723	0.589078470695
a30	0.0604636856239	0.057468633544	0.0873751604493	0.229338754423	0.565353797065
a0	0.0743015254184	0.0970961465122	0.0883424819878	0.212758552555	0.527501318782
a31	0.0565478323492	0.118553768581	0.0659893526876	0.196765062272	0.562143981654
</S>	0.0440986897893	0.113310454634	0.0697898273888	0.184246475295	0.588554531527
