 	ho	cosa	a	fare	</S>
a23	0.0247337003025	0.121288136579	0.3868401071	0.212297953999	0.254840103295
a17	0.0392023022333	0.168057651732	0.309080349767	0.2636227614	0.220036949269
a31	0.0411367717979	0.169299310795	0.242869463856	0.340848112133	0.205846351679
a8	0.0866432141193	0.129911755415	0.178379277352	0.380778772141	0.224286992158
a31	0.167194792826	0.0927371346477	0.144425182784	0.36365230231	0.231990592634
a13	0.146556715703	0.0774710741066	0.127571115248	0.390250069737	0.258151017207
a24	0.156534551562	0.0847618818688	0.112856803917	0.345795535999	0.300051210813
a31	0.188070561916	0.0979805582489	0.12707036946	0.269684968393	0.317193523545
a13	0.122255999019	0.0795981612271	0.118036794349	0.293017139271	0.387091890272
a31	0.0565276954275	0.0566447357379	0.119991287831	0.31969753259	0.447138737944
a18	0.0463027290113	0.0716412068761	0.113133721176	0.286695489419	0.482226849435
a0	0.0491243757233	0.119048948523	0.0524315267993	0.255793064508	0.523602093545
a39	0.0416488347398	0.151303462672	0.032758374536	0.254298089138	0.519991247359
</S>	0.0478373898421	0.151604187036	0.0300140769719	0.265950515502	0.504593828746
