 	che	non	li	aspettiamo	</S>
a20	0.184010456198	0.119812274465	0.0973302374143	0.588863136148	0.00998390589101
a8	0.149867272696	0.102025112718	0.10792802407	0.631254361873	0.00892524080827
a7	0.20163487608	0.0978020828696	0.0547101198313	0.642165878389	0.00368703331422
a35	0.213722188033	0.129350826605	0.0394320719913	0.615404404796	0.0020904964814
a46	0.234818759975	0.101531478364	0.0382466261678	0.622875883599	0.00252722096499
a31	0.283620465009	0.0866718653223	0.0356835352219	0.590831418533	0.00319267823646
a11	0.254150467576	0.0830054759282	0.0567096056536	0.594994004844	0.0111404328571
a31	0.186265564163	0.0618129583724	0.0714830302765	0.653269507615	0.0271689369324
a0	0.112997273196	0.0484989048454	0.0902949063782	0.717967247205	0.0302416836241
a31	0.0464106140385	0.0323961727757	0.105117558046	0.774401055068	0.0416746124534
a30	0.0267258033366	0.0312889523023	0.117944332449	0.774463279689	0.0495776304165
a0	0.0265308919224	0.0334127176479	0.129390218354	0.751970332563	0.0586958364455
a31	0.0194345371217	0.0225305442236	0.0884315408276	0.719723997521	0.149879363482
</S>	0.0101984085664	0.0132134863558	0.0604417906572	0.692563581761	0.223582708311
