 	ho	rotto	una	bottiglia	</S>
a31	0.0185264957718	0.0367037796066	0.20515116529	0.717429493195	0.0221890472101
a21	0.0139751141022	0.037421809919	0.230720000577	0.697967357532	0.0199157078392
a31	0.0123500456637	0.0171522193808	0.317314658305	0.642595431715	0.0105876436283
a35	0.0310068711719	0.00723446842595	0.315188769688	0.638782550309	0.00778732819843
a31	0.0683865207763	0.00469212928482	0.216408856516	0.702457087303	0.00805539411069
a24	0.137181698177	0.00337758724101	0.139708737472	0.652121331661	0.0676106499041
a37	0.195902082417	0.0242027938683	0.0747892580217	0.599950411247	0.105155468594
a31	0.137657166945	0.0401174860654	0.0984686067626	0.609695642416	0.114061111209
a33	0.0645179232382	0.0787109546513	0.130201886243	0.603865819555	0.122703430822
a31	0.101447705852	0.134907093619	0.0959328207646	0.498723460048	0.168988928666
</S>	0.149075825369	0.146738714509	0.0651927384743	0.402466013194	0.236526708841
