 	tutto	il	cibo	vuole	girato	</S>
a31	0.183505720057	0.138774086822	0.174230307158	0.269813184383	0.177284482643	0.0563922009824
a8	0.155131771397	0.173832824339	0.161375320784	0.243376738217	0.198069412123	0.0682139050034
a31	0.120888462388	0.154692612613	0.149868337972	0.246766042816	0.237894168281	0.0898903415731
a29	0.165647740841	0.113819581405	0.188819698043	0.213560766859	0.174503170865	0.143649028307
a20	0.185023392361	0.132443840235	0.151434486273	0.209483854865	0.156204348226	0.165410076018
a39	0.210676698627	0.119952133264	0.10180573743	0.209892609695	0.193316788089	0.164356031749
a31	0.316672979573	0.0537544139843	0.0880009990843	0.165770025048	0.197633999822	0.178167598323
a0	0.325189266713	0.0448542918594	0.104773788881	0.147661684243	0.184980873795	0.192540096402
a31	0.272350586927	0.0416494468824	0.116206802127	0.123677239233	0.236201211235	0.209914699316
a24	0.257582670822	0.0526715752691	0.0941156258791	0.0625412869306	0.257604634491	0.275484199643
a36	0.245772945921	0.0805885380208	0.0809128728523	0.0790896409883	0.167545557887	0.346090445965
a11	0.229386994572	0.0737421685364	0.0969098417016	0.0789252120028	0.148160889099	0.372874901792
a17	0.222196008326	0.0940604290808	0.0902153852365	0.0690827323756	0.166820503588	0.357624954977
a31	0.196694901295	0.0966825435224	0.0912718710281	0.0669926934492	0.169797729382	0.378560259152
a6	0.156734650024	0.0769776490124	0.0949008677091	0.0919840585057	0.16136079303	0.418041978984
a31	0.129713126615	0.0848606562996	0.0828723061337	0.108850978285	0.152208091186	0.441494844995
a24	0.092920615611	0.127452691794	0.0795152889159	0.0792067787051	0.176670152825	0.444234472598
a6	0.0704391086921	0.156500047996	0.0728928793232	0.113890554812	0.158030971371	0.428246448266
a31	0.083267233645	0.123766284394	0.0886781117709	0.12813056244	0.115827360026	0.460330457222
a46	0.0642007703894	0.121435925392	0.0824276421473	0.0997809398279	0.158771210434	0.473383497027
a39	0.0391570398369	0.127987141192	0.0630492486364	0.113675979571	0.181911356095	0.474219216496
a31	0.0426050317682	0.0962599394939	0.0575881548709	0.11267288411	0.142447358444	0.548426636365
a41	0.0377096221939	0.109690601639	0.0548271155295	0.0981954684743	0.155650697552	0.543926489755
a8	0.0303783857556	0.135394309009	0.0515178029989	0.132011056461	0.174796415558	0.475902020218
</S>	0.0330546283456	0.131908059766	0.0510288719524	0.158515409359	0.154344508345	0.471148521109
