 	la	macchina	si	è	rotta	e	vuole	riparate	dal	meccanico	</S>
a31	0.00841796375576	0.225646449192	0.0109309944693	0.000772294967789	0.166716200789	0.0239936303299	0.078223144509	0.20170773198	0.00807065953512	0.259234804504	0.0162861190152
a23	0.00469267483315	0.214129753783	0.0332808980689	0.00309765090443	0.159094780973	0.0382156248424	0.146132662559	0.105010659341	0.00922880367838	0.275577473237	0.011539014645
a31	0.00370505328725	0.2093485778	0.0357492646307	0.00435818235386	0.15468933393	0.0374324939536	0.186595647672	0.0902892671303	0.0121101280152	0.256403842453	0.00931821263299
a37	0.00939868966319	0.203493885377	0.0381686455376	0.00555605919537	0.180480437118	0.0223424723004	0.147943981403	0.106162800423	0.0131811893434	0.258295134396	0.0149767145048
a39	0.0234841919727	0.220179607285	0.0528167236399	0.0081721129633	0.195358383931	0.0180810058596	0.0899601775896	0.116870622176	0.00884922615882	0.244453436801	0.0217745234384
a17	0.0944199423264	0.181010362013	0.0663981063386	0.00612737037852	0.203647915342	0.00877873633652	0.0559637048057	0.0935293223914	0.00767116184769	0.262683204448	0.0197701864542
a11	0.1936282703	0.0951074848225	0.0842748739362	0.00318247828332	0.205713469972	0.004441663728	0.0598613307973	0.0509369494885	0.00536066066146	0.277301096654	0.0201917241243
a31	0.216058527238	0.0536705382507	0.0600534864076	0.00430101985331	0.22089837191	0.00589596753204	0.069936797586	0.0586796885992	0.00790808517111	0.286674389666	0.0159231306926
a20	0.163085582861	0.0749107260777	0.0334122569792	0.0068813426331	0.233539858829	0.00892988337068	0.0937951634966	0.0780956649425	0.0240381465838	0.256226085055	0.0270852985812
a31	0.118816488255	0.10379235734	0.0253631694117	0.00946891668523	0.239927122494	0.0127724011142	0.113092832373	0.0887626363989	0.0345374711891	0.221917883877	0.0315487258251
a24	0.10954638069	0.118436610703	0.0299764044125	0.0133345752688	0.218008342515	0.016567706024	0.105645822353	0.0919226151404	0.0381796227159	0.241802865087	0.0165790611945
a31	0.0989148256535	0.140727469692	0.0295004193303	0.015863256891	0.21022928467	0.016799750982	0.0946980160947	0.0901292725189	0.0408233334333	0.243459947511	0.018854428327
a8	0.106316769994	0.131723037523	0.0204613879624	0.0177242263777	0.188192967221	0.0235977892819	0.0863462386382	0.0908969477691	0.0597624681597	0.229259740753	0.0457184238928
a31	0.0913101186391	0.16975760652	0.0241706934526	0.0154269694359	0.138326662854	0.0243489814745	0.0785503947554	0.102847274291	0.0602371287547	0.217540730438	0.0774834235661
a24	0.0879868163528	0.1957868677	0.0320165090853	0.0106272877782	0.116414451454	0.0144366709913	0.0705766259571	0.110144787311	0.0555379486398	0.239637277007	0.0668347397712
a6	0.101143083005	0.17257519223	0.0342780372736	0.0112335130714	0.10495830588	0.0167986736442	0.0613990234047	0.0920178058514	0.0617777071318	0.250439086947	0.0933795647424
a31	0.0660778077533	0.199087794482	0.0333068781777	0.0115885278469	0.103796793448	0.0209356475379	0.0411181158186	0.10487809269	0.0422036871683	0.221460158296	0.155546501327
a20	0.0766627698193	0.183622432871	0.0354766367305	0.0137570613846	0.112736493675	0.0193744670414	0.0547316035851	0.103704756685	0.0360854112663	0.203000548215	0.160847813266
a31	0.0861724791184	0.170548316426	0.0391762714822	0.0175162189163	0.115489890136	0.0230713901009	0.0572287603255	0.0834388447337	0.0403103625806	0.198176739776	0.168870696905
a23	0.102087798692	0.159507656064	0.0429346331968	0.0251629113033	0.0868168930849	0.0260363307168	0.0407097001692	0.0730002318546	0.0512120584747	0.175316055761	0.217215705054
