 	non	aveva	dove	aveva	per	stare	</S>
a7	0.257696152047	0.0209591132977	0.25241542587	0.0414233224835	0.154558514107	0.100830729044	0.17211673005
a31	0.200470852905	0.034393429894	0.248700686285	0.0465929569371	0.214531050117	0.10357724858	0.151733761286
a29	0.208022063384	0.0558548940727	0.233668702552	0.0249055214204	0.19970722378	0.104896085674	0.172945491927
a19	0.262899169709	0.0805705576236	0.203057635117	0.0136050635876	0.156277578591	0.0927899407412	0.190800043332
a46	0.274282784842	0.0602507342041	0.12717891412	0.030434792093	0.181103735597	0.123588642208	0.203160395964
a31	0.243977281036	0.0253097705574	0.118768967075	0.0349289040359	0.221546476331	0.157425657782	0.198042946022
a38	0.211371948046	0.0214253561401	0.137053161688	0.026161713544	0.208115535162	0.148716036426	0.247156256049
a31	0.207591645357	0.0203559797151	0.124209821161	0.0261814899651	0.166454760415	0.147085135636	0.30812117398
a20	0.161197852037	0.0185443802963	0.132725972975	0.0284266403429	0.163853403595	0.167326787839	0.327924953973
a31	0.119179926445	0.0169758136735	0.12091686797	0.0356676944931	0.183553612964	0.186501667453	0.337204397951
a0	0.108616893056	0.0188759965871	0.103003329201	0.0378356139509	0.192626912013	0.201870200124	0.337171038777
a31	0.0757054012242	0.0195207216145	0.0943778489795	0.0403119678597	0.202483072858	0.222793398301	0.344807577919
a46	0.0674769362283	0.0239390951056	0.0858151058008	0.0434126318412	0.196643293137	0.23729440276	0.345418530106
a18	0.0531596951554	0.0296993125101	0.0749611879723	0.0472564758249	0.159072434079	0.262976273653	0.372874616569
</S>	0.0471346487709	0.0259306008242	0.0775954042119	0.0487927112315	0.124162964144	0.282709915427	0.393673748185
