 	mi	sono	vestito	</S>
a39	0.544944540452	0.0553118609381	0.341039018365	0.0587045964423
a11	0.553236232714	0.0496653296494	0.324605536125	0.0724929322214
a13	0.545656344625	0.0574840907171	0.341237982407	0.0556216078454
a18	0.489838035347	0.0621288709584	0.379821266648	0.0682118224414
a31	0.492146856289	0.0505097386081	0.391645686273	0.0656977267216
a37	0.494427401281	0.0569180322207	0.362676537273	0.0859780508793
a15	0.359481144211	0.069889353574	0.377579157804	0.1930503614
a31	0.229428739075	0.0580018167955	0.415557350001	0.297012106471
a46	0.127965520857	0.0476307600864	0.452862668334	0.371541063495
a31	0.0637917520429	0.0526842750523	0.424523760045	0.459000224314
a20	0.0503226290823	0.0989454838935	0.426619239642	0.424112651987
a31	0.0352300332235	0.106198964412	0.440884723337	0.417686286476
</S>	0.0287312081836	0.076168502269	0.400995804313	0.494104494158
